DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition,ans,att,acc
0.0014045597,0.2821603,0.002513831,0.71392137,pp408_control_ans0_att19_acc70.csv,408,control,0,19,70
0.30350587,0.023591315,0.6063491,0.06655369,pp236_control_ans0_att20_acc81.csv,236,control,0,20,81
0.14136717,0.028862089,0.56628,0.26349077,pp139_guess_ans0_att20_acc77.csv,139,guess,0,20,77
0.4653827,0.12226409,0.30604818,0.10630499,pp311_guess_ans0_att20_acc77.csv,311,guess,0,20,77
0.28292024,0.09102751,0.43885684,0.1871954,pp375_guess_ans0_att20_acc64.csv,375,guess,0,20,64
0.21368647,0.17762113,0.30552343,0.30316895,pp441_guess_ans0_att18_acc64.csv,441,guess,0,18,64
0.30536118,0.21378982,0.2701144,0.21073459,pp355_guess_ans0_att16_acc61.csv,355,guess,0,16,61
0.38619938,0.08759921,0.4085186,0.11768273,pp327_guess_ans0_att17_acc63.csv,327,guess,0,17,63
0.0032062363,0.03700778,0.015517889,0.94426805,pp162_control_ans0_att20_acc81.csv,162,control,0,20,81
0.037027728,0.7232514,0.01861208,0.22110887,pp130_control_ans0_att20_acc69.csv,130,control,0,20,69
0.010821368,0.6171037,0.008345992,0.36372897,pp121_guess_ans0_att20_acc70.csv,121,guess,0,20,70
0.0039681033,0.8872121,0.0031297498,0.105690084,pp234_control_ans0_att20_acc96.csv,234,control,0,20,96
0.004408232,0.0031104223,0.6090297,0.3834517,pp172_control_ans0_att20_acc78.csv,172,control,0,20,78
0.21933906,0.37197876,0.12140149,0.28728074,pp275_guess_ans0_att20_acc86.csv,275,guess,0,20,86
0.005885857,0.0033842358,0.87536675,0.11536314,pp157_guess_ans0_att14_acc59.csv,157,guess,0,14,59
0.00242128,0.29603758,0.009310793,0.69223034,pp117_guess_ans0_att12_acc52.csv,117,guess,0,12,52
0.15203364,0.045286253,0.4597099,0.34297013,pp334_control_ans0_att20_acc76.csv,334,control,0,20,76
0.3082761,0.28299665,0.20020689,0.20852034,pp377_guess_ans0_att20_acc71.csv,377,guess,0,20,71
0.002547343,0.86686915,0.0029230127,0.12766044,pp352_control_ans0_att20_acc99.csv,352,control,0,20,99
0.39903444,0.023478981,0.53618217,0.0413044,pp397_guess_ans0_att20_acc70.csv,397,guess,0,20,70
0.0014795356,0.5341444,0.0025969828,0.46177906,pp155_guess_ans0_att20_acc70.csv,155,guess,0,20,70
0.0013143317,0.19377619,0.0024696377,0.8024399,pp372_control_ans0_att20_acc88.csv,372,control,0,20,88
0.65638953,0.06575451,0.24591172,0.031944226,pp388_control_ans0_att20_acc75.csv,388,control,0,20,75
0.0017943183,0.8618341,0.0035239297,0.13284765,pp306_control_ans0_att20_acc97.csv,306,control,0,20,97
0.41771394,0.2501481,0.17838302,0.15375498,pp447_guess_ans0_att20_acc87.csv,447,guess,0,20,87
0.08130367,0.042270817,0.25753716,0.6188883,pp353_guess_ans0_att20_acc75.csv,353,guess,0,20,75
0.74545157,0.02545189,0.22010559,0.0089909965,pp272_control_ans0_att20_acc91.csv,272,control,0,20,91
0.001269395,0.86447,0.0024310565,0.13182949,pp226_control_ans0_att20_acc86.csv,226,control,0,20,86
0.44372535,0.052478682,0.43939337,0.06440267,pp244_control_ans0_att18_acc66.csv,244,control,0,18,66
0.0019544407,0.0020688446,0.17142178,0.8245549,pp268_control_ans0_att20_acc83.csv,268,control,0,20,83
0.326269,0.38121054,0.1350507,0.1574697,pp429_guess_ans0_att20_acc75.csv,429,guess,0,20,75
0.004713765,0.027803842,0.01281383,0.9546686,pp285_guess_ans0_att20_acc71.csv,285,guess,0,20,71
0.38501477,0.106835805,0.38430607,0.12384339,pp390_control_ans0_att19_acc63.csv,390,control,0,19,63
0.6529403,0.12250595,0.18837935,0.03617441,pp318_control_ans0_att20_acc87.csv,318,control,0,20,87
0.0014678501,0.11370198,0.0019403552,0.8828899,pp122_control_ans0_att20_acc73.csv,122,control,0,20,73
0.002150705,0.82885283,0.0025729043,0.16642365,pp431_guess_ans0_att19_acc64.csv,431,guess,0,19,64
0.54881495,0.06321793,0.3416279,0.046339244,pp319_guess_ans0_att20_acc62.csv,319,guess,0,20,62
0.38539046,0.046403334,0.49176598,0.07644021,pp142_control_ans0_att20_acc67.csv,142,control,0,20,67
0.2626342,0.13165998,0.37172967,0.23397614,pp231_guess_ans0_att20_acc66.csv,231,guess,0,20,66
0.7042,0.052982412,0.22050428,0.0223133,pp190_control_ans0_att20_acc77.csv,190,control,0,20,77
0.0016558751,0.8806465,0.002468943,0.115228675,pp308_control_ans0_att20_acc97.csv,308,control,0,20,97
0.42769745,0.14862698,0.29885805,0.12481748,pp401_guess_ans0_att19_acc64.csv,401,guess,0,19,64
0.19425914,0.055963162,0.5112846,0.2384931,pp164_control_ans0_att20_acc66.csv,164,control,0,20,66
