LFM_st0,LFM_all,file,pp,condition,ans,att,acc
0.06084982,0.9391502,pp109_control_ans0_att20_acc100.csv,109,control,0,20,100
0.6692616,0.33073848,pp560_guess_ans0_att18_acc62.csv,560,guess,0,18,62
0.0051161028,0.99488384,pp38_guess_ans0_att13_acc51.csv,38,guess,0,13,51
0.24405934,0.7559407,pp355_control_ans0_att19_acc74.csv,355,control,0,19,74
0.8028372,0.19716285,pp218_guess_ans0_att17_acc52.csv,218,guess,0,17,52
0.004730966,0.995269,pp375_control_ans0_att19_acc66.csv,375,control,0,19,66
0.34453505,0.65546495,pp74_guess_ans0_att20_acc76.csv,74,guess,0,20,76
0.8580998,0.14190015,pp500_guess_ans0_att20_acc67.csv,500,guess,0,20,67
0.626526,0.37347403,pp168_guess_ans0_att20_acc79.csv,168,guess,0,20,79
0.005659286,0.99434066,pp420_guess_ans0_att20_acc69.csv,420,guess,0,20,69
0.0048238127,0.9951762,pp19_control_ans0_att12_acc52.csv,19,control,0,12,52
0.60622174,0.39377823,pp317_control_ans0_att20_acc73.csv,317,control,0,20,73
0.5079865,0.4920135,pp131_control_ans0_att18_acc61.csv,131,control,0,18,61
0.9801742,0.0198258,pp509_control_ans0_att20_acc96.csv,509,control,0,20,96
0.90814817,0.091851816,pp372_guess_ans0_att19_acc89.csv,372,guess,0,19,89
0.8252626,0.17473741,pp382_guess_ans0_att19_acc60.csv,382,guess,0,19,60
0.0053590345,0.99464095,pp179_control_ans0_att20_acc68.csv,179,control,0,20,68
0.8216278,0.17837216,pp234_guess_ans0_att19_acc72.csv,234,guess,0,19,72
0.9587904,0.041209623,pp272_guess_ans0_att19_acc56.csv,272,guess,0,19,56
0.007394609,0.9926053,pp534_guess_ans0_att18_acc57.csv,534,guess,0,18,57
0.74817175,0.25182825,pp78_guess_ans0_att20_acc69.csv,78,guess,0,20,69
0.009504171,0.9904958,pp283_control_ans0_att20_acc78.csv,283,control,0,20,78
0.005042727,0.99495727,pp162_guess_ans0_att15_acc60.csv,162,guess,0,15,60
0.13784274,0.8621572,pp402_guess_ans0_att18_acc65.csv,402,guess,0,18,65
0.9505522,0.049447834,pp167_control_ans0_att20_acc96.csv,167,control,0,20,96
0.19834653,0.8016535,pp387_control_ans0_att20_acc62.csv,387,control,0,20,62
0.93923295,0.060767077,pp66_guess_ans0_att20_acc75.csv,66,guess,0,20,75
0.39041278,0.60958725,pp556_guess_ans0_att20_acc81.csv,556,guess,0,20,81
0.005412565,0.9945874,pp582_guess_ans0_att20_acc64.csv,582,guess,0,20,64
0.092283554,0.90771645,pp53_control_ans0_att19_acc68.csv,53,control,0,19,68
0.3276841,0.67231584,pp570_guess_ans0_att17_acc67.csv,570,guess,0,17,67
0.20915109,0.7908489,pp169_control_ans0_att17_acc55.csv,169,control,0,17,55
0.03841791,0.9615821,pp125_control_ans0_att17_acc66.csv,125,control,0,17,66
0.8770983,0.122901686,pp83_control_ans0_att20_acc75.csv,83,control,0,20,75
0.0050938465,0.9949062,pp384_guess_ans0_att19_acc67.csv,384,guess,0,19,67
0.15640506,0.84359497,pp112_guess_ans0_att19_acc64.csv,112,guess,0,19,64
0.97061926,0.029380722,pp373_control_ans0_att20_acc85.csv,373,control,0,20,85
0.0051236907,0.9948763,pp311_control_ans0_att20_acc65.csv,311,control,0,20,65
0.92275554,0.077244505,pp398_guess_ans0_att20_acc83.csv,398,guess,0,20,83
0.0052848123,0.99471515,pp333_control_ans0_att18_acc69.csv,333,control,0,18,69
0.9456733,0.05432676,pp104_guess_ans0_att20_acc86.csv,104,guess,0,20,86
0.94619316,0.053806774,pp537_control_ans0_att20_acc81.csv,537,control,0,20,81
0.0050805844,0.99491936,pp141_control_ans0_att20_acc69.csv,141,control,0,20,69
0.0043475223,0.99565244,pp144_guess_ans0_att17_acc73.csv,144,guess,0,17,73
0.005113021,0.99488693,pp217_control_ans0_att20_acc72.csv,217,control,0,20,72
0.86223644,0.13776357,pp215_control_ans0_att20_acc77.csv,215,control,0,20,77
0.3861924,0.61380756,pp401_control_ans0_att18_acc62.csv,401,control,0,18,62
0.95389426,0.046105772,pp79_control_ans0_att20_acc87.csv,79,control,0,20,87
0.010372787,0.98962724,pp246_guess_ans0_att19_acc61.csv,246,guess,0,19,61
0.09457745,0.90542257,pp532_guess_ans0_att20_acc81.csv,532,guess,0,20,81
0.8951423,0.10485763,pp313_control_ans0_att20_acc71.csv,313,control,0,20,71
0.0062547503,0.9937452,pp476_guess_ans0_att19_acc74.csv,476,guess,0,19,74
0.5781993,0.42180067,pp56_guess_ans0_att20_acc72.csv,56,guess,0,20,72
0.7431463,0.25685367,pp120_guess_ans0_att20_acc65.csv,120,guess,0,20,65
0.0051581184,0.9948419,pp197_control_ans0_att20_acc100.csv,197,control,0,20,100
0.0047175135,0.9952825,pp288_guess_ans0_att18_acc59.csv,288,guess,0,18,59
0.98490137,0.015098565,pp183_control_ans0_att20_acc88.csv,183,control,0,20,88
0.97662467,0.02337531,pp441_control_ans0_att20_acc84.csv,441,control,0,20,84
0.96101844,0.038981598,pp114_guess_ans0_att20_acc73.csv,114,guess,0,20,73
0.019705415,0.9802946,pp354_guess_ans0_att18_acc64.csv,354,guess,0,18,64
0.008217982,0.99178195,pp324_guess_ans0_att17_acc56.csv,324,guess,0,17,56
0.9812708,0.018729273,pp171_control_ans0_att20_acc79.csv,171,control,0,20,79
