DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition,ans,att,acc
0.30737376,0.21591146,0.2675243,0.20919046,pp160_control_ans0_att18_acc59.csv,160,control,0,18,59
0.0022083302,0.048821185,0.0022464525,0.9467241,pp253_guess_ans0_att19_acc63.csv,253,guess,0,19,63
0.0895377,0.53711975,0.053205516,0.32013705,pp436_control_ans0_att20_acc70.csv,436,control,0,20,70
0.0015450746,0.19696054,0.0032474375,0.79824704,pp255_guess_ans0_att19_acc76.csv,255,guess,0,19,76
0.0044594044,0.8236558,0.0031010879,0.1687837,pp183_guess_ans0_att19_acc80.csv,183,guess,0,19,80
0.0021003522,0.0033279976,0.09006351,0.9045081,pp228_control_ans0_att20_acc76.csv,228,control,0,20,76
0.10534182,0.41599727,0.08046733,0.39819354,pp271_guess_ans0_att19_acc65.csv,271,guess,0,19,65
0.04546153,0.7314923,0.019392654,0.20365347,pp237_guess_ans0_att20_acc75.csv,237,guess,0,20,75
0.12585516,0.395885,0.08342836,0.39483142,pp335_guess_ans0_att20_acc73.csv,335,guess,0,20,73
0.002849952,0.9032426,0.0026268016,0.09128063,pp279_guess_ans0_att20_acc77.csv,279,guess,0,20,77
0.0017310502,0.90654546,0.0028078565,0.08891562,pp260_control_ans0_att20_acc91.csv,260,control,0,20,91
0.005178181,0.026040921,0.033523187,0.93525773,pp280_control_ans0_att20_acc71.csv,280,control,0,20,71
0.00025036462,0.9917617,0.00016355565,0.007824364,pp422_control_ans0_att20_acc91.csv,422,control,0,20,91
0.43426713,0.2366876,0.20600434,0.123040855,pp340_control_ans0_att20_acc72.csv,340,control,0,20,72
0.0025543561,0.80167747,0.0023793592,0.19338875,pp242_control_ans0_att20_acc86.csv,242,control,0,20,86
0.0024103553,0.0023409068,0.6172587,0.37799,pp120_control_ans0_att20_acc100.csv,120,control,0,20,100
0.0032454773,0.04750081,0.0020655734,0.94718814,pp419_guess_ans0_att20_acc66.csv,419,guess,0,20,66
0.0020767497,0.90425116,0.003077739,0.090594426,pp303_guess_ans0_att20_acc92.csv,303,guess,0,20,92
0.0032482017,0.0021348218,0.9140972,0.08051972,pp140_control_ans0_att19_acc65.csv,140,control,0,19,65
0.062972926,0.16279104,0.05981892,0.71441704,pp144_control_ans0_att20_acc90.csv,144,control,0,20,90
0.7070928,0.0887909,0.17683293,0.027283348,pp224_control_ans0_att20_acc82.csv,224,control,0,20,82
0.08656696,0.34600678,0.07546955,0.49195674,pp365_guess_ans0_att20_acc62.csv,365,guess,0,20,62
0.020012535,0.55167955,0.0115208365,0.41678706,pp135_guess_ans0_att20_acc92.csv,135,guess,0,20,92
0.0021696272,0.8931842,0.0020472344,0.10259899,pp149_guess_ans0_att19_acc92.csv,149,guess,0,19,92
0.008109027,0.71003515,0.004926153,0.2769297,pp426_control_ans0_att20_acc85.csv,426,control,0,20,85
0.045863956,0.0061832597,0.83916885,0.108783945,pp443_guess_ans0_att19_acc64.csv,443,guess,0,19,64
0.27897874,0.27695778,0.21101324,0.23305026,pp218_control_ans0_att18_acc66.csv,218,control,0,18,66
0.0013864506,0.9525101,0.0016750864,0.044428438,pp325_guess_ans0_att20_acc75.csv,325,guess,0,20,75
0.0038882394,0.08293202,0.002260077,0.91091967,pp349_guess_ans0_att20_acc82.csv,349,guess,0,20,82
0.049835127,0.49627918,0.03478665,0.41909903,pp304_control_ans0_att19_acc69.csv,304,control,0,19,69
0.0038895116,0.16451156,0.0030943896,0.8285045,pp225_guess_ans0_att20_acc93.csv,225,guess,0,20,93
0.0017552946,0.92682695,0.0025183666,0.068899415,pp174_control_ans0_att20_acc92.csv,174,control,0,20,92
0.002997357,0.0027032485,0.64814705,0.3461524,pp210_control_ans0_att20_acc81.csv,210,control,0,20,81
0.10349249,0.0388574,0.4752594,0.38239077,pp246_control_ans0_att19_acc68.csv,246,control,0,19,68
0.29666197,0.14452967,0.35543624,0.20337208,pp191_guess_ans0_att16_acc61.csv,191,guess,0,16,61
0.0022738688,0.8684244,0.0032244239,0.12607734,pp313_guess_ans0_att20_acc86.csv,313,guess,0,20,86
0.04663933,0.12455242,0.17418869,0.6546196,pp212_control_ans0_att20_acc64.csv,212,control,0,20,64
0.03247333,0.8424636,0.01077428,0.114288785,pp245_guess_ans0_att20_acc98.csv,245,guess,0,20,98
0.0014020851,0.4856006,0.0025560632,0.51044124,pp189_guess_ans0_att16_acc61.csv,189,guess,0,16,61
0.0053215045,0.09818592,0.0023857132,0.89410686,pp440_control_ans0_att20_acc93.csv,440,control,0,20,93
0.0017441675,0.0027729503,0.28455877,0.710924,pp247_guess_ans0_att17_acc61.csv,247,guess,0,17,61
0.0022789228,0.37457222,0.002559285,0.62058955,pp133_guess_ans0_att20_acc70.csv,133,guess,0,20,70
