LFM_st0,LFM_all,file,pp,condition,ans,att,acc
0.80717385,0.19282618,pp377_guess_ans0_att20_acc71.csv,377,guess,0,20,71
0.92081076,0.07918922,pp352_control_ans0_att20_acc99.csv,352,control,0,20,99
0.7262126,0.27378738,pp397_guess_ans0_att20_acc70.csv,397,guess,0,20,70
0.004756504,0.9952435,pp155_guess_ans0_att20_acc70.csv,155,guess,0,20,70
0.25337118,0.7466288,pp372_control_ans0_att20_acc88.csv,372,control,0,20,88
0.9252239,0.07477612,pp388_control_ans0_att20_acc75.csv,388,control,0,20,75
0.9837382,0.016261846,pp306_control_ans0_att20_acc97.csv,306,control,0,20,97
0.88655657,0.11344347,pp447_guess_ans0_att20_acc87.csv,447,guess,0,20,87
0.096998595,0.9030014,pp353_guess_ans0_att20_acc75.csv,353,guess,0,20,75
0.99045825,0.009541768,pp272_control_ans0_att20_acc91.csv,272,control,0,20,91
0.9594262,0.040573712,pp226_control_ans0_att20_acc86.csv,226,control,0,20,86
0.14067976,0.8593203,pp244_control_ans0_att18_acc66.csv,244,control,0,18,66
0.004121811,0.9958782,pp268_control_ans0_att20_acc83.csv,268,control,0,20,83
0.93931586,0.060684133,pp429_guess_ans0_att20_acc75.csv,429,guess,0,20,75
0.06518147,0.9348185,pp285_guess_ans0_att20_acc71.csv,285,guess,0,20,71
0.39302015,0.60697985,pp390_control_ans0_att19_acc63.csv,390,control,0,19,63
0.9577799,0.042220112,pp318_control_ans0_att20_acc87.csv,318,control,0,20,87
0.8067948,0.19320516,pp122_control_ans0_att20_acc73.csv,122,control,0,20,73
0.014409446,0.9855906,pp431_guess_ans0_att19_acc64.csv,431,guess,0,19,64
0.89300895,0.10699105,pp319_guess_ans0_att20_acc62.csv,319,guess,0,20,62
0.6328162,0.36718377,pp142_control_ans0_att20_acc67.csv,142,control,0,20,67
0.18968011,0.8103199,pp231_guess_ans0_att20_acc66.csv,231,guess,0,20,66
0.9311477,0.068852305,pp190_control_ans0_att20_acc77.csv,190,control,0,20,77
0.9858418,0.014158142,pp308_control_ans0_att20_acc97.csv,308,control,0,20,97
0.7529155,0.24708448,pp401_guess_ans0_att19_acc64.csv,401,guess,0,19,64
0.12899753,0.87100244,pp164_control_ans0_att20_acc66.csv,164,control,0,20,66
0.9486059,0.051394116,pp217_guess_ans0_att19_acc63.csv,217,guess,0,19,63
0.7611144,0.2388856,pp451_control_ans0_att20_acc68.csv,451,control,0,20,68
0.15198706,0.848013,pp432_control_ans0_att20_acc70.csv,432,control,0,20,70
0.9804231,0.019576838,pp350_control_ans0_att20_acc99.csv,350,control,0,20,99
0.6183859,0.38161406,pp286_control_ans0_att20_acc78.csv,286,control,0,20,78
0.8504442,0.14955585,pp284_control_ans0_att19_acc70.csv,284,control,0,19,70
0.9656295,0.034370527,pp143_guess_ans0_att19_acc82.csv,143,guess,0,19,82
0.9003544,0.09964559,pp370_control_ans0_att20_acc65.csv,370,control,0,20,65
