rt,symbol,cond,pp
-0.7514348011358104,0.0,control,160
-1.0029715734232059,0.0,control,160
-1.7222710406623447,0.0,control,160
-0.5807921324870567,0.0,control,160
-1.1465665778440206,0.0,control,160
-1.7859704032830275,0.0,control,160
-1.3837312472171082,0.0,control,160
-1.8436648605719421,0.0,control,160
-1.6287988420249089,0.0,control,160
-0.8046916783175139,0.0,control,160
-1.2112666320169052,0.0,control,160
-1.0764605827180098,0.0,control,160
-1.8521165004941682,0.0,control,160
-1.7345955764136687,0.0,control,160
-1.2978663367642735,0.0,control,160
-1.711299827620113,0.0,control,160
-1.7764406775958,0.0,control,160
-1.244618111756344,0.0,control,160
-0.5545830478273486,0.0,control,160
2.9881275804037006,0.0,control,160
-3.30269356118696,0.0,control,160
-1.921738387319124,0.0,control,160
-1.8997950893272688,0.0,control,160
-1.9070621504069893,0.0,control,160
-1.8517892791875208,0.0,control,160
-1.9811691767382094,0.0,control,160
-1.7668863614257662,0.0,control,160
-1.6746804539500408,0.0,control,160
-1.8470259744858926,0.0,control,160
-1.3450161820057045,0.0,control,160
-1.0968733131307853,0.0,control,160
-0.7644542288975876,0.0,control,160
-2.479876227398569,0.0,control,160
-1.5290292039851294,0.0,control,160
-1.3730716465022852,0.0,control,160
-2.4499333339311673,0.0,control,160
-0.8280435925897796,0.0,control,160
-1.7963577649942832,0.0,control,160
-2.280266185328018,0.0,control,160
-1.167995249459198,0.0,control,160
-1.9798233487792232,0.0,control,160
-1.49507195256436,0.0,control,160
-1.8196508649570071,0.0,control,160
-1.9103868452116017,0.0,control,160
-1.6611342045177648,0.0,control,160
-2.089982715915615,0.0,control,160
-1.0565561630753604,0.0,control,160
-2.7644801562188324,0.0,control,160
-1.6116009740414807,0.0,control,160
-1.9217256008173444,0.0,control,160
-0.9476719062205832,0.0,control,160
-1.7052468333674449,0.0,control,160
-1.016828564269309,0.0,control,160
-1.2223526944646377,0.0,control,160
-1.1725339912986348,0.0,control,160
-1.0105455826461234,0.0,control,160
-2.727095254563783,0.0,control,160
-1.414885159077373,0.0,control,160
-1.076941228856092,0.0,control,160
-0.8918279858720939,0.0,control,160
-0.8287737505562642,0.0,control,160
-1.8861885803544165,0.0,control,160
-1.3799319820106302,0.0,control,160
-1.9879628626126014,0.0,control,160
-1.4966627594971067,0.0,control,160
3.143605535162682,0.0,control,160
-1.9341189060670507,0.0,control,160
-2.3167334163969056,0.0,control,160
-1.5462779917802774,0.0,control,160
-1.273255052150119,0.0,control,160
-1.1902483567187216,0.0,control,160
-1.035379397049034,0.0,control,160
-1.1255638451418046,0.0,control,160
-1.061902432637484,0.0,control,160
-1.946118507331474,0.0,control,160
-1.1630061718539237,0.0,control,160
-3.4698162016607803,0.0,control,160
-0.5569074825451417,0.0,control,160
-1.317256376102224,0.0,control,160
-0.7809969282005451,0.0,control,160
-2.029024511092931,0.0,control,160
-1.4257072277246334,0.0,control,160
1.9209225270260246,0.0,control,160
-2.2325092995878624,0.0,control,160
-1.4859168498079622,0.0,control,160
-1.422568307452132,0.0,control,160
-0.7923371184785817,0.0,control,160
2.451136117451913,0.0,control,160
-1.8031480919302267,0.0,control,160
-1.6762637012128296,0.0,control,160
-1.308954885551886,0.0,control,160
-2.001938535509053,0.0,control,160
-1.5681939910248346,0.0,control,160
-1.3447862555101935,0.0,control,160
1.6578335723927677,0.0,control,160
-1.5453307346430056,0.0,control,160
-1.1674369782045197,0.0,control,160
-2.054127209813622,0.0,control,160
1.7022854460617363,0.0,control,160
-2.1543268426479854,0.0,control,160
-0.8870089511000335,0.0,control,160
