rt,symbol,cond,pp
-9.397292799120292,0.0,control,109
-7.096886653277791,0.0,control,109
-9.932581088549387,0.0,control,109
-10.796052567254605,0.0,control,109
-9.222259901741323,0.0,control,109
-8.490584313697994,0.0,control,109
-8.672954297953025,0.0,control,109
-15.115482768144227,0.0,control,109
-8.175233686459844,0.0,control,109
-9.370186656579365,0.0,control,109
-8.273946428372188,0.0,control,109
-8.526514535014794,0.0,control,109
-9.312503203995492,0.0,control,109
-8.108045874326745,0.0,control,109
-7.691999052959369,0.0,control,109
-13.235133109647304,0.0,control,109
7.82490603588604,0.0,control,109
-7.677418947876234,0.0,control,109
-7.358501053385982,0.0,control,109
-13.452610537755753,0.0,control,109
-6.442081798326461,0.0,control,109
-7.227326719345076,0.0,control,109
-9.768699217124809,0.0,control,109
-6.68958320266379,0.0,control,109
-9.353448164093436,0.0,control,109
-8.11201145385391,0.0,control,109
-10.664150655408527,0.0,control,109
-8.827048402442184,0.0,control,109
-8.34645870497357,0.0,control,109
-11.456019309845693,0.0,control,109
-13.748382534995283,0.0,control,109
-7.879236494763747,0.0,control,109
-6.670247461717819,0.0,control,109
-9.287900077906292,0.0,control,109
-8.423136390584304,0.0,control,109
-9.509325009007616,0.0,control,109
-10.84826808229094,0.0,control,109
15.535641754342656,0.0,control,109
15.810176156893505,0.0,control,109
-6.747056647325639,0.0,control,109
-9.192155029664438,0.0,control,109
-9.239818770307478,0.0,control,109
-9.529516049133703,0.0,control,109
6.236202382904272,0.0,control,109
-8.130451977347844,0.0,control,109
-9.069175757240355,0.0,control,109
-13.212208002408172,0.0,control,109
-10.528569628118479,0.0,control,109
15.35888745413758,0.0,control,109
-7.54830299431474,0.0,control,109
-7.890420135152768,0.0,control,109
-8.163963951056548,0.0,control,109
-10.116918051200182,0.0,control,109
-8.202011666983841,0.0,control,109
-8.126908207886409,0.0,control,109
-9.477220057748951,0.0,control,109
-7.055140433125143,0.0,control,109
-8.350542309112859,0.0,control,109
-10.652432874573002,0.0,control,109
-8.072043719348798,0.0,control,109
-8.189952665377017,0.0,control,109
-7.47360737651558,0.0,control,109
-8.329834195787024,0.0,control,109
-8.55240632495773,0.0,control,109
-12.8528923449177,0.0,control,109
-8.097430977156359,0.0,control,109
-7.8638618026825355,0.0,control,109
-7.367990129891641,0.0,control,109
7.228053431429399,0.0,control,109
-8.411490329825224,0.0,control,109
-11.498936320459151,0.0,control,109
-7.818188860891079,0.0,control,109
-7.916115182778284,0.0,control,109
-9.597057693039744,0.0,control,109
-9.080184237039324,0.0,control,109
15.669489341809733,0.0,control,109
-9.09306922431788,0.0,control,109
-10.528107758202694,0.0,control,109
-10.532838943020874,0.0,control,109
-12.950678037768634,0.0,control,109
-7.291340056370831,0.0,control,109
-12.235686956859297,0.0,control,109
-8.209009462127328,0.0,control,109
-7.517142896789527,0.0,control,109
-15.810616451464593,0.0,control,109
-8.535607580141816,0.0,control,109
-9.42461244035321,0.0,control,109
-6.903921370830053,0.0,control,109
-10.991199327788026,0.0,control,109
-8.398960238208067,0.0,control,109
-11.111235839962479,0.0,control,109
-11.118904487653463,0.0,control,109
-10.284734440693919,0.0,control,109
-7.775797062629588,0.0,control,109
-11.364521315166499,0.0,control,109
-7.518363985769209,0.0,control,109
-8.329576840201122,0.0,control,109
-14.417652972288618,0.0,control,109
-11.077780029498022,0.0,control,109
-6.829355943237424,0.0,control,109
-9.33932156512515,0.0,control,109
-11.757372005283015,0.0,control,109
-9.501484911612899,0.0,control,109
-8.002412009538546,0.0,control,109
-6.748010280279715,0.0,control,109
-8.198068173190288,0.0,control,109
