RT,mean,half
7.8179,1,1
-7.0759,0,1
-6.2605,0,1
6.5496,1,1
-7.9144,0,1
-6.9212,0,1
6.973,1,1
-7.1736,0,1
9.5144,1,1
-6.8472,0,1
6.6263,1,1
8.172,1,1
-6.8912,0,1
-6.4091,0,1
9.9368,0,1
7.5526,0,1
7.42,1,1
6.4921,0,1
-7.3122,0,1
-10.3806,0,1
7.7864,1,1
7.318,1,1
6.2112,1,1
-7.5325,0,1
-6.7874,0,1
6.7098,1,1
6.4189,1,1
-6.3432,0,1
7.8916,1,1
6.2338,1,1
6.6063,1,1
7.6345,1,1
-6.6973,0,1
7.1586,1,1
-9.4967,0,1
-5.7858,0,1
-6.0486,0,1
6.3396,1,1
-6.7687,0,1
-5.8377,0,1
4.7977,1,1
-4.6405,0,1
-6.3348,0,1
5.5646,1,1
-6.2567,0,1
-5.9173,0,1
-6.573,0,1
5.8203,1,1
6.7818,1,1
7.7277,1,1
6.9949,1,1
7.1894,1,1
-10.1577,0,1
9.0489,1,1
7.3559,1,1
5.4175,1,1
-7.6694,0,1
-8.2036,0,1
-7.7729,0,1
6.9406,1,1
6.8599,1,1
5.3673,1,1
6.3006,1,1
-4.8903,0,1
-8.3755,0,1
-9.6734,0,1
7.3899,1,1
6.4636,1,1
-8.3722,0,1
-5.9862,0,1
-5.2827,0,1
-5.8897,0,1
5.7548,1,1
-4.9662,0,2
5.6281,1,2
-5.9952,0,2
5.8504,1,2
-7.9096,0,2
7.556,1,2
-6.6423,0,2
6.8787,1,2
6.6336,1,2
5.5938,1,2
5.0915,1,1
-7.0562,0,1
4.8061,1,1
6.0246,1,1
-6.2231,0,1
6.3865,1,1
5.7622,1,1
-10.3194,0,1
-7.6968,0,1
7.1572,1,1
-5.9701,0,1
6.724,1,1
-7.8,0,1
6.6912,1,1
9.6685,1,1
-7.5888,0,1
-7.6911,0,1
-7.82,0,1
-7.4042,0,1
-5.9755,0,1
6.7469,1,2
-7.8059,0,2
5.641,1,2
8.3878,1,2
-5.3497,0,2
-7.6789,0,2
-7.178,0,2
6.4369,1,2
7.6049,1,2
5.3884,1,2
5.7772,1,2
5.2441,1,2
-5.2585,0,2
6.8136,1,2
-4.6501,0,2
6.0347,1,2
6.7283,1,2
-5.5435,0,1
4.6564,1,1
-5.1254,0,1
-5.8368,0,1
6.3833,1,1
5.8,1,1
5.7573,0,1
7.2475,1,1
5.301,1,1
-5.8027,0,1
5.1802,1,1
7.579,1,1
4.0354,1,1
5.9685,1,1
-6.1873,1,1
-7.7086,0,1
-6.5541,0,1
-5.541,0,1
-5.989,0,1
5.4676,1,1
5.6267,1,1
-6.5395,0,1
5.4068,1,2
5.9057,1,2
-6.4056,0,2
6.3331,1,2
7.0022,1,2
-5.9715,0,2
-6.9425,0,2
-5.297,0,2
6.7685,1,2
5.4797,1,2
5.769,1,2
-5.4056,0,2
-6.3195,0,2
-5.8516,0,2
-7.3819,0,2
9.0749,0,2
-8.2403,0,1
6.3586,1,1
-7.8675,0,1
6.4677,1,1
-6.8813,0,1
5.6556,1,1
-6.1097,0,1
5.2109,1,1
-7.5868,0,1
6.7937,1,1
-7.0006,0,1
-6.7453,0,1
6.5616,1,1
5.1907,1,1
6.7772,1,1
6.3786,1,2
-5.7236,0,2
-7.0104,0,2
-5.5469,0,2
5.7201,1,2
-7.6171,0,2
5.8026,1,2
-8.4794,0,2
5.7569,1,2
8.4942,1,2
-7.1178,0,2
-7.4754,0,2
-6.2965,0,2
5.6723,1,2
6.5879,0,2
-5.2137,0,2
6.3309,1,2
6.4934,1,2
-5.3612,0,2
5.8489,1,2
6.5294,1,2
-6.7597,0,2
6.5401,1,2
-4.1198,0,2
-5.4113,0,2
6.1449,1,2
5.0464,1,2
6.8927,1,2
5.7376,1,2
6.4357,1,2
5.3866,1,2
-9.6736,0,2
-7.3781,0,2
6.3568,1,2
6.6729,1,2
-5.8639,0,2
5.7673,1,2
-5.8502,0,2
-4.8831,0,2
-7.7138,0,2
5.2292,1,2
-6.4893,1,2
6.9872,1,2
-5.9633,0,2
-6.7143,0,2
5.3709,1,2
-5.9019,0,2
-6.7518,0,2
-7.1685,0,2
-5.8777,0,2
6.6135,1,2
6.1273,1,2
-7.9616,0,2
-6.1095,0,2
4.0883,1,2
6.1446,1,2
6.6466,1,2
5.757,0,2
5.4962,1,2
6.1582,1,2
-5.7481,0,2
-7.2378,0,2
-5.53,0,2
-5.8616,0,2
-8.0966,0,1
-6.3512,0,1
-7.2105,0,1
-5.5007,0,1
-5.9257,0,1
-6.5033,0,1
7.9702,1,1
-6.7745,0,1
-7.1344,0,1
9.6377,1,1
