RT,mean,half
5.5252,1,1
21.645,1,1
12.3643,0,1
0.8943,0,2
0.7463,0,2
5.6824,0,1
2.2554,1,2
1.5591,0,2
2.0591,0,2
0.8082,0,2
0.7728,0,2
0.7641,1,2
0.7353,0,2
0.8947,1,2
1.546,0,1
18.0428,1,1
13.6127,0,1
2.2684,1,1
1.4193,0,1
2.079,1,1
1.7623,1,1
0.8911,1,1
1.1433,1,1
-2.8729,0,1
-2.1753,0,1
-1.2463,0,1
-1.1322,1,1
-0.596,1,1
1.2273,1,2
3.0019,1,2
0.7657,1,2
2.6807,0,2
0.617,0,2
0.8284,0,2
0.9401,1,2
1.2913,1,2
0.6174,0,2
5.2147,0,2
-2.2274,0,1
-1.9786,0,1
2.1098,0,1
0.6186,1,1
2.5098,1,1
3.8119,1,1
1.9294,0,1
5.0748,1,1
3.5281,1,1
4.3662,0,1
9.8542,1,1
2.9121,0,1
3.4562,0,1
8.9815,0,1
1.533,1,1
21.4971,0,1
6.5369,1,1
10.1176,0,1
5.9115,1,1
3.084,0,1
3.5858,0,1
3.06,1,1
4.2444,0,1
2.0497,1,1
4.5067,0,1
21.3155,1,1
-3.1968,1,1
-2.7327,0,1
-1.5201,1,1
-5.8848,0,1
-2.3238,0,1
-1.7587,0,1
-1.9796,1,1
-5.209,1,1
-3.1589,0,1
1.4457,0,1
2.8521,0,1
1.4944,1,1
-9.3389,0,1
-7.423,0,1
-2.3284,1,1
1.4092,1,1
7.5359,0,1
-15.1155,0,1
-15.2352,1,1
-6.3497,1,1
1.1314,0,1
3.5674,1,1
0.6434,0,1
-0.6639,1,1
-1.0969,1,1
-1.2615,1,1
-2.2635,1,1
-0.5726,0,1
-4.2836,0,1
-2.548,0,1
-3.7897,0,1
-3.2611,0,1
-0.7098,0,1
-1.7226,0,1
-1.3462,0,1
-3.2851,0,1
-3.1217,0,1
-1.6255,0,1
-1.6688,1,1
-2.2946,1,1
-2.9324,1,1
-1.5777,1,1
-1.5772,1,1
-5.0426,1,1
-8.7205,1,1
5.1354,1,2
3.095,1,2
3.2258,1,2
3.4895,0,2
-0.907,1,2
-1.8892,1,2
-0.6723,0,2
-0.9455,1,2
