t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
0.7818732,0.708619,0.52389896,-0.31384492,0.21325508,1.847185,1.417312,pp468_guess_ans0_att20_acc64.csv,468,guess,0,20,64
0.7363702,0.47514287,0.7670727,0.18659373,0.36652854,3.5330966,1.2350928,pp536_guess_ans0_att20_acc54.csv,536,guess,0,20,54
1.2272365,0.8293247,0.3461363,0.055338476,0.9262878,3.4603148,1.8177768,pp452_guess_ans0_att20_acc76.csv,452,guess,0,20,76
0.74137694,0.4694,0.4048204,-0.056581285,0.48507905,2.6682024,1.12705,pp112_guess_ans0_att19_acc64.csv,112,guess,0,19,64
1.5266688,1.407987,0.4815351,-0.5580129,0.13511643,5.6593857,1.2008777,pp74_guess_ans0_att20_acc76.csv,74,guess,0,20,76
4.852621,1.4386033,0.6323653,-0.35814816,-0.46723986,7.835197,1.808159,pp437_control_ans0_att20_acc88.csv,437,control,0,20,88
0.83388513,1.1325222,0.5585239,0.3893097,0.8787874,2.2768376,1.2867081,pp272_guess_ans0_att19_acc56.csv,272,guess,0,19,56
0.8501159,0.84667766,0.6393289,-0.12417912,0.5085533,2.21592,1.711844,pp489_control_ans0_att19_acc66.csv,489,control,0,19,66
0.7209929,0.4291958,0.7539106,0.05569023,0.48885036,2.0111356,1.7844979,pp442_guess_ans0_att18_acc56.csv,442,guess,0,18,56
0.952481,0.58177996,0.4499056,-0.23594588,0.5652783,3.3077402,1.7046533,pp407_control_ans0_att20_acc77.csv,407,control,0,20,77
0.8781462,0.3826943,0.4694529,-0.12055086,0.60010225,2.1563172,1.6523728,pp85_control_ans0_att20_acc69.csv,85,control,0,20,69
0.8969277,1.2000914,0.5636045,-0.38915688,0.33702835,1.8520418,1.0565372,pp289_control_ans0_att19_acc66.csv,289,control,0,19,66
0.6998815,0.4770462,0.43803862,-0.23394097,0.29323375,2.358108,1.164844,pp352_guess_ans0_att19_acc65.csv,352,guess,0,19,65
1.3862258,1.3213171,0.4740423,-0.37288198,0.5669038,1.565128,1.6672231,pp549_control_ans0_att18_acc71.csv,549,control,0,18,71
0.8198748,0.37445292,0.56005204,-0.49703085,0.29128537,3.110688,1.348613,pp457_control_ans0_att20_acc75.csv,457,control,0,20,75
0.82504433,0.69023657,0.43025503,-0.41197827,0.31015122,2.7191205,1.3706554,pp499_control_ans0_att20_acc71.csv,499,control,0,20,71
0.73692435,0.5710429,0.5800234,-0.34573683,0.6279654,2.6007063,1.4357502,pp52_guess_ans0_att20_acc76.csv,52,guess,0,20,76
0.7791839,0.5295481,0.46292755,-0.43190673,0.68562233,2.8268578,1.8440379,pp398_guess_ans0_att20_acc83.csv,398,guess,0,20,83
0.8856542,1.2285063,0.5270343,-0.3231388,0.18779927,4.8289127,1.068601,pp178_guess_ans0_att20_acc70.csv,178,guess,0,20,70
0.7126049,0.42371675,0.55173016,-0.34783876,0.17947339,2.6365132,1.5431345,pp179_control_ans0_att20_acc68.csv,179,control,0,20,68
2.2467144,1.3895088,0.66450995,-0.6535029,0.21888718,7.5324454,1.4797126,pp99_control_ans0_att20_acc89.csv,99,control,0,20,89
1.1786783,1.1110979,0.4552141,-0.38021624,0.7538613,2.985282,1.3424544,pp89_control_ans0_att20_acc79.csv,89,control,0,20,79
1.5403143,1.1711215,0.52060115,-0.22969721,0.59360653,3.069435,1.4694172,pp83_control_ans0_att20_acc75.csv,83,control,0,20,75
0.71997374,0.678714,0.5288549,-0.2846335,0.09280378,2.094656,1.1852052,pp301_control_ans0_att17_acc60.csv,301,control,0,17,60
1.10826,0.98259777,0.6268266,-0.3517675,0.25968015,0.8790609,1.5079882,pp444_guess_ans0_att19_acc61.csv,444,guess,0,19,61
4.337706,1.0632433,0.47005728,-0.86366135,0.8817968,6.278237,1.9606371,pp175_control_ans0_att20_acc99.csv,175,control,0,20,99
1.4283159,1.2370318,0.5080972,-0.19846724,0.40296733,2.107911,1.6094772,pp464_guess_ans0_att20_acc67.csv,464,guess,0,20,67
0.8909162,0.88941497,0.6146821,0.051201385,0.5968327,2.8828702,1.8943229,pp120_guess_ans0_att20_acc65.csv,120,guess,0,20,65
0.8669497,1.0720453,0.601878,-0.09034282,-0.1649119,4.3223352,1.0305573,pp54_guess_ans0_att12_acc51.csv,54,guess,0,12,51
1.5730019,1.2842487,0.53655857,-0.3689642,0.6065409,2.2990425,1.8223666,pp137_control_ans0_att20_acc76.csv,137,control,0,20,76
1.1309639,1.3756468,0.4854546,-0.17936124,0.39406446,3.9467828,1.1741273,pp333_control_ans0_att18_acc69.csv,333,control,0,18,69
0.76665276,0.44281754,0.58045983,-0.1680065,0.49554712,3.0329213,1.2488455,pp262_guess_ans0_att20_acc68.csv,262,guess,0,20,68
1.5185045,1.3783756,0.46556368,-0.3212662,0.7677171,2.7958815,1.4076177,pp138_guess_ans0_att20_acc79.csv,138,guess,0,20,79
1.3463349,1.423909,0.6855085,-0.23544155,-0.4622702,6.142649,1.070343,pp606_guess_ans0_att12_acc51.csv,606,guess,0,12,51
1.1673061,1.067929,0.63509333,-0.071410574,0.21782641,0.91989696,1.5561341,pp397_control_ans0_att19_acc56.csv,397,control,0,19,56
0.72401875,0.48781407,0.4405737,-0.7334592,-0.18129276,1.3598086,1.7119559,pp263_control_ans0_att14_acc60.csv,263,control,0,14,60
3.716521,1.4197582,0.6543894,-0.6270032,0.3613332,7.520483,1.8147677,pp181_control_ans0_att20_acc95.csv,181,control,0,20,95
1.7614957,1.1860726,0.48431525,-0.3794739,0.71448356,3.435602,1.6213275,pp205_control_ans0_att20_acc83.csv,205,control,0,20,83
2.2922976,1.4178432,0.5347351,-0.3508139,0.4863317,5.38045,1.1378039,pp317_control_ans0_att20_acc73.csv,317,control,0,20,73
1.3630241,1.1735291,0.44703817,-0.45837998,0.30271503,2.8170822,1.3118365,pp496_guess_ans0_att20_acc73.csv,496,guess,0,20,73
1.2694566,1.4282078,0.49862784,-0.3461352,-0.030309958,5.558373,1.0418591,pp238_guess_ans0_att17_acc68.csv,238,guess,0,17,68
0.69451565,0.5487873,0.490166,0.21046013,0.3402335,1.4096737,1.1956501,pp222_guess_ans0_att12_acc51.csv,222,guess,0,12,51
0.6939453,0.40989473,0.6000416,-0.24532954,0.29630685,1.9021479,1.794318,pp311_control_ans0_att20_acc65.csv,311,control,0,20,65
2.0895526,1.4172271,0.46034336,-0.31917474,0.25978744,4.878242,1.2122672,pp570_guess_ans0_att17_acc67.csv,570,guess,0,17,67
0.9006112,0.8984012,0.4964306,-0.382316,0.29182193,2.6453354,1.6255522,pp56_guess_ans0_att20_acc72.csv,56,guess,0,20,72
4.6135955,1.4195348,0.6386333,-0.6837945,0.3002526,7.505935,1.7737689,pp49_control_ans0_att20_acc95.csv,49,control,0,20,95
0.6925164,0.33618525,0.35605693,-0.28198212,0.014918401,0.9368873,1.657058,pp473_control_ans0_att15_acc55.csv,473,control,0,15,55
0.70792884,0.4319312,0.46033794,-0.091187194,0.41641837,2.6789923,1.417006,pp385_control_ans0_att18_acc67.csv,385,control,0,18,67
0.7650081,0.6588012,0.5566229,-0.15646267,0.032186534,2.5182123,1.4829409,pp324_guess_ans0_att17_acc56.csv,324,guess,0,17,56
2.1127946,1.4312752,0.577848,-0.60484403,-0.37977123,7.808886,1.3175228,pp114_guess_ans0_att20_acc73.csv,114,guess,0,20,73
0.78318805,0.3929853,0.42530137,-0.2977689,0.265286,2.2487793,1.7019172,pp345_control_ans0_att19_acc67.csv,345,control,0,19,67
0.7373589,0.521812,0.5154447,-0.63739294,0.19358431,0.8789292,1.5624871,pp566_guess_ans0_att20_acc64.csv,566,guess,0,20,64
1.5022918,1.4079592,0.56360525,-0.6484971,0.3336757,7.152778,1.2424892,pp320_guess_ans0_att20_acc87.csv,320,guess,0,20,87
1.0859724,1.1667126,0.5534279,-0.30280825,0.3483627,3.4245067,1.3686618,pp65_control_ans0_att20_acc73.csv,65,control,0,20,73
