RT,mean,half
3.3336,0,1
-2.6716,0,1
2.8342,0,1
2.9413,1,1
2.2,1,1
2.8925,1,1
-4.5544,1,1
5.6122,0,1
3.2385,1,1
5.1185,1,1
-3.8772,0,1
-4.035,0,1
3.3332,1,1
-4.1433,0,1
1.9852,1,1
4.7536,0,1
2.6937,1,1
-5.4671,1,1
-5.6539,0,1
-4.1297,0,1
5.3546,0,1
-2.1802,0,1
2.7692,0,1
-6.5358,0,1
6.6278,1,1
5.5824,0,1
4.0617,1,1
3.1379,1,1
4.1981,1,1
-4.3171,1,1
1.9336,0,1
4.7279,1,1
-3.0676,0,1
-4.7561,1,1
4.6057,0,1
1.8037,1,1
4.2838,1,1
3.0522,1,1
-2.3509,0,1
1.9359,1,1
-2.896,0,1
-3.0531,1,1
-2.2846,1,1
-2.7871,0,1
-4.5667,1,1
-3.1539,0,1
3.8534,1,1
-2.7018,1,1
2.5951,1,1
-1.7761,0,1
2.8002,0,1
2.3525,0,1
-3.2442,0,1
-5.5388,1,1
-3.7866,1,1
6.6794,1,1
1.7278,1,1
-2.8857,0,1
-2.2628,0,1
-5.3274,0,1
3.7068,1,1
-2.2194,1,1
2.8857,1,1
-2.1288,0,1
6.0587,0,1
-2.8418,0,1
2.8333,1,1
7.7137,1,1
-5.8022,0,1
-2.8365,0,1
-4.2474,0,1
2.5952,1,1
-2.2373,0,1
-1.8479,0,1
2.2609,0,1
-3.2686,1,1
4.7098,1,1
2.5766,1,1
3.1936,0,1
3.4733,1,1
5.5328,1,1
-3.754,0,1
-2.0559,1,1
-2.4734,0,1
-3.7359,0,1
-5.918,0,1
2.3862,1,1
3.0465,0,1
1.4114,1,1
-1.4235,0,1
-3.2886,1,1
1.9387,1,1
-2.2441,0,1
1.4055,1,1
-1.4386,0,1
3.0956,1,1
2.1113,1,1
-3.6683,0,1
-2.1234,0,1
1.8819,0,1
-2.1499,0,1
-3.2823,0,1
-2.9347,1,1
1.9813,1,1
4.7867,1,1
1.8551,1,1
1.9505,1,1
2.473,1,1
2.9383,1,1
3.2335,0,1
-2.6076,0,1
-8.427,1,1
-3.5787,0,1
3.8687,1,1
-3.6727,0,1
-4.3297,0,1
-6.4433,1,1
-2.5142,0,1
2.2287,1,1
2.051,0,1
2.9649,1,1
6.3426,0,1
2.6893,1,1
-2.479,0,1
5.4791,1,1
-6.0864,0,1
-2.6617,1,1
-2.6689,0,1
-4.7315,0,1
3.223,1,1
2.8666,1,1
3.803,1,1
2.7866,1,1
3.0805,1,1
4.7433,1,1
3.2414,0,1
-3.8233,0,1
-2.8342,0,1
-4.1847,0,1
1.8544,1,1
2.2248,0,1
-2.4921,0,1
2.1947,1,1
-1.9324,0,1
-2.6895,0,1
-3.6964,0,1
-4.462,1,1
-5.5413,0,1
-12.1062,0,1
-2.4541,0,1
3.5647,1,1
-3.4576,0,1
3.1245,1,1
1.3079,1,1
2.1279,0,1
1.5712,1,1
1.5671,1,1
1.3096,1,1
-10.0372,0,1
-3.9221,1,1
5.0326,1,1
-5.4741,0,1
-3.2348,1,1
-2.4345,1,1
2.1954,1,1
1.8614,1,1
2.8409,1,1
-2.4905,0,1
6.4011,0,1
-3.3004,0,1
-5.5807,0,1
6.5395,0,1
2.4761,0,1
-2.7948,0,1
-6.4285,0,1
3.1125,1,1
3.4825,0,2
3.3264,1,2
-3.1901,0,2
2.7611,1,2
6.1589,0,2
4.2439,1,2
-4.3869,0,2
4.0285,1,2
6.6087,1,2
2.7869,1,2
-3.1898,0,2
2.6906,1,2
1.5183,1,2
-6.018,0,2
9.5034,1,2
-8.0077,0,2
-4.5351,0,2
-3.4817,0,2
-2.7523,0,2
5.4734,1,2
7.4565,1,2
10.2468,0,2
8.5266,0,2
2.5584,0,2
-7.331,0,2
-4.1034,0,2
-2.6078,0,2
3.5014,1,2
-4.7505,0,2
2.1555,1,2
5.4885,1,2
-8.481,0,2
1.8903,1,2
3.1428,0,2
3.4492,1,2
2.8616,1,2
-7.1794,0,2
4.1083,0,2
6.9097,0,2
8.8207,1,2
-2.6883,1,2
4.8201,1,2
9.3366,1,2
4.0268,1,2
-2.3326,0,2
1.7971,1,2
-3.5699,0,2
3.058,1,2
2.1445,1,2
5.591,1,2
-3.4719,0,2
4.5612,1,2
4.649,1,2
-1.8969,0,2
4.4657,1,2
-8.1768,0,2
5.3652,1,2
7.3386,1,2
-4.0425,0,2
3.5639,1,2
-8.0117,0,2
-8.1345,0,2
1.4263,1,2
1.6556,1,2
-5.7533,0,2
6.6747,0,2
1.2558,1,2
3.0371,0,2
2.7681,1,2
3.7574,1,2
-3.575,0,2
-1.9001,0,2
-2.0419,0,2
-5.7015,0,2
-3.2378,1,2
5.0283,1,2
-3.0497,0,2
5.4621,1,2
5.1198,1,2
5.2829,0,2
-4.6466,0,2
3.9337,0,2
-2.8279,0,2
2.0164,1,2
3.8589,1,2
2.0341,1,2
-8.078,0,2
-3.2496,0,2
2.9555,0,2
3.0766,0,2
-4.5086,0,2
-3.9809,0,2
-5.6779,0,2
2.2441,1,2
3.3991,0,2
2.7475,1,2
2.9488,1,2
3.5026,1,2
10.4019,1,2
4.1673,1,2
5.6441,0,2
-4.9435,0,2
3.4945,1,2
4.4141,1,2
2.602,0,2
6.211,1,2
-3.694,0,2
-3.7838,0,2
4.6254,0,2
-5.2489,1,2
6.2009,0,2
8.0362,1,2
