LFM_st0,LFM_all,file,pp,condition,ans,att,acc
0.7262123,0.27378765,pp397_guess_ans0_att20_acc70.csv,397,guess,0,20,70
0.0039681047,0.99603194,pp194_control_ans0_att20_acc88.csv,194,control,0,20,88
0.39302048,0.6069795,pp390_control_ans0_att19_acc63.csv,390,control,0,19,63
0.3681483,0.6318517,pp271_guess_ans0_att19_acc65.csv,271,guess,0,19,65
0.06518151,0.9348185,pp285_guess_ans0_att20_acc71.csv,285,guess,0,20,71
0.91547775,0.08452225,pp166_control_ans0_att20_acc80.csv,166,control,0,20,80
0.99045825,0.009541777,pp272_control_ans0_att20_acc91.csv,272,control,0,20,91
0.6428922,0.3571078,pp441_guess_ans0_att18_acc64.csv,441,guess,0,18,64
0.0045726765,0.99542725,pp162_control_ans0_att20_acc81.csv,162,control,0,20,81
0.056469247,0.94353074,pp227_guess_ans0_att20_acc70.csv,227,guess,0,20,70
0.22356528,0.7764347,pp375_guess_ans0_att20_acc64.csv,375,guess,0,20,64
0.9594262,0.040573783,pp226_control_ans0_att20_acc86.csv,226,control,0,20,86
0.88655657,0.11344344,pp447_guess_ans0_att20_acc87.csv,447,guess,0,20,87
0.9907259,0.009274053,pp149_guess_ans0_att19_acc92.csv,149,guess,0,19,92
0.009311129,0.9906888,pp379_guess_ans0_att19_acc74.csv,379,guess,0,19,74
0.9486059,0.051394146,pp217_guess_ans0_att19_acc63.csv,217,guess,0,19,63
0.6926001,0.30739993,pp281_guess_ans0_att20_acc72.csv,281,guess,0,20,72
0.6008065,0.39919356,pp349_guess_ans0_att20_acc82.csv,349,guess,0,20,82
0.17002876,0.82997125,pp189_guess_ans0_att16_acc61.csv,189,guess,0,16,61
0.18968028,0.8103197,pp231_guess_ans0_att20_acc66.csv,231,guess,0,20,66
0.62837446,0.3716255,pp365_guess_ans0_att20_acc62.csv,365,guess,0,20,62
0.8855199,0.11448012,pp144_control_ans0_att20_acc90.csv,144,control,0,20,90
0.0050749886,0.994925,pp294_control_ans0_att20_acc65.csv,294,control,0,20,65
0.04875217,0.9512479,pp255_guess_ans0_att19_acc76.csv,255,guess,0,19,76
0.9790699,0.020930156,pp303_guess_ans0_att20_acc92.csv,303,guess,0,20,92
0.19114044,0.8088595,pp125_guess_ans0_att20_acc83.csv,125,guess,0,20,83
0.90742934,0.09257071,pp275_guess_ans0_att20_acc86.csv,275,guess,0,20,86
0.8504442,0.14955582,pp284_control_ans0_att19_acc70.csv,284,control,0,19,70
0.9840349,0.01596512,pp234_control_ans0_att20_acc96.csv,234,control,0,20,96
0.003457849,0.99654216,pp146_control_ans0_att17_acc61.csv,146,control,0,17,61
0.6328165,0.36718354,pp142_control_ans0_att20_acc67.csv,142,control,0,20,67
0.99030614,0.009693827,pp279_guess_ans0_att20_acc77.csv,279,guess,0,20,77
0.6727303,0.32726964,pp133_guess_ans0_att20_acc70.csv,133,guess,0,20,70
0.8071736,0.19282646,pp377_guess_ans0_att20_acc71.csv,377,guess,0,20,71
0.14067975,0.8593203,pp244_control_ans0_att18_acc66.csv,244,control,0,18,66
0.25524294,0.744757,pp334_control_ans0_att20_acc76.csv,334,control,0,20,76
0.005163173,0.9948368,pp280_control_ans0_att20_acc71.csv,280,control,0,20,71
0.9470404,0.052959625,pp161_guess_ans0_att20_acc97.csv,161,guess,0,20,97
0.9364375,0.06356251,pp313_guess_ans0_att20_acc86.csv,313,guess,0,20,86
0.12899786,0.8710022,pp164_control_ans0_att20_acc66.csv,164,control,0,20,66
0.21223818,0.78776187,pp330_control_ans0_att18_acc59.csv,330,control,0,18,59
0.0044898256,0.9955102,pp140_control_ans0_att19_acc65.csv,140,control,0,19,65
0.020370103,0.9796299,pp172_control_ans0_att20_acc78.csv,172,control,0,20,78
0.90218985,0.09781021,pp341_guess_ans0_att20_acc69.csv,341,guess,0,20,69
0.9522558,0.047744162,pp120_control_ans0_att20_acc100.csv,120,control,0,20,100
0.98569864,0.014301348,pp174_control_ans0_att20_acc92.csv,174,control,0,20,92
0.9368674,0.06313259,pp311_guess_ans0_att20_acc77.csv,311,guess,0,20,77
0.18692996,0.81307006,pp195_guess_ans0_att20_acc76.csv,195,guess,0,20,76
0.957758,0.042242005,pp273_guess_ans0_att20_acc82.csv,273,guess,0,20,82
0.004121813,0.9958782,pp268_control_ans0_att20_acc83.csv,268,control,0,20,83
0.8479279,0.15207203,pp160_control_ans0_att18_acc59.csv,160,control,0,18,59
0.97142833,0.028571721,pp156_control_ans0_att19_acc97.csv,156,control,0,19,97
0.004742185,0.9952578,pp210_control_ans0_att20_acc81.csv,210,control,0,20,81
0.0052198586,0.9947802,pp117_guess_ans0_att12_acc52.csv,117,guess,0,12,52
0.87540674,0.12459327,pp405_guess_ans0_att20_acc79.csv,405,guess,0,20,79
