LFM_st0,LFM_all,file,pp,condition,ans,att,acc
0.8758914,0.12410859,pp412_guess_ans0_att18_acc57.csv,412,guess,0,18,57
0.00534889,0.99465114,pp377_control_ans0_att18_acc61.csv,377,control,0,18,61
0.004730966,0.995269,pp375_control_ans0_att19_acc66.csv,375,control,0,19,66
0.004717518,0.9952825,pp288_guess_ans0_att18_acc59.csv,288,guess,0,18,59
0.102945484,0.8970545,pp439_control_ans0_att20_acc84.csv,439,control,0,20,84
0.77623487,0.22376515,pp361_control_ans0_att20_acc69.csv,361,control,0,20,69
0.98490137,0.015098559,pp183_control_ans0_att20_acc88.csv,183,control,0,20,88
0.8216278,0.17837217,pp234_guess_ans0_att19_acc72.csv,234,guess,0,19,72
0.366486,0.633514,pp438_guess_ans0_att20_acc64.csv,438,guess,0,20,64
0.13784282,0.86215717,pp402_guess_ans0_att18_acc65.csv,402,guess,0,18,65
0.007065224,0.99293476,pp142_guess_ans0_att20_acc64.csv,142,guess,0,20,64
0.012413691,0.98758626,pp259_control_ans0_att20_acc82.csv,259,control,0,20,82
0.0056592887,0.99434066,pp420_guess_ans0_att20_acc69.csv,420,guess,0,20,69
0.8951423,0.104857646,pp313_control_ans0_att20_acc71.csv,313,control,0,20,71
0.0050805816,0.99491936,pp141_control_ans0_att20_acc69.csv,141,control,0,20,69
0.8090515,0.19094844,pp440_guess_ans0_att19_acc67.csv,440,guess,0,19,67
0.98905444,0.010945564,pp360_guess_ans0_att20_acc90.csv,360,guess,0,20,90
0.27535182,0.7246481,pp326_guess_ans0_att16_acc63.csv,326,guess,0,16,63
0.84329504,0.156705,pp285_control_ans0_att20_acc69.csv,285,control,0,20,69
0.80490524,0.19509475,pp347_control_ans0_att18_acc60.csv,347,control,0,18,60
0.22792834,0.77207166,pp46_guess_ans0_att20_acc76.csv,46,guess,0,20,76
0.95786095,0.04213902,pp251_control_ans0_att20_acc83.csv,251,control,0,20,83
0.008844662,0.9911554,pp479_control_ans0_att20_acc68.csv,479,control,0,20,68
0.28440604,0.715594,pp541_control_ans0_att20_acc84.csv,541,control,0,20,84
0.9025855,0.0974145,pp291_control_ans0_att20_acc85.csv,291,control,0,20,85
0.36225984,0.63774014,pp395_control_ans0_att20_acc65.csv,395,control,0,20,65
0.75845486,0.24154514,pp88_guess_ans0_att20_acc74.csv,88,guess,0,20,74
0.017548539,0.9824515,pp491_control_ans0_att16_acc56.csv,491,control,0,16,56
0.004786848,0.99521315,pp27_control_ans0_att19_acc69.csv,27,control,0,19,69
0.9812205,0.018779457,pp429_control_ans0_att20_acc95.csv,429,control,0,20,95
0.0049577034,0.9950423,pp221_control_ans0_att20_acc69.csv,221,control,0,20,69
0.97061926,0.0293807,pp373_control_ans0_att20_acc85.csv,373,control,0,20,85
0.8921961,0.10780385,pp577_control_ans0_att20_acc90.csv,577,control,0,20,90
0.0049378285,0.9950622,pp149_control_ans0_att18_acc60.csv,149,control,0,18,60
0.13976856,0.86023146,pp96_guess_ans0_att12_acc54.csv,96,guess,0,12,54
0.4499981,0.5500019,pp528_guess_ans0_att17_acc68.csv,528,guess,0,17,68
0.0048888708,0.99511117,pp318_guess_ans0_att19_acc63.csv,318,guess,0,19,63
0.12614205,0.8738579,pp378_guess_ans0_att19_acc63.csv,378,guess,0,19,63
0.023585409,0.97641456,pp145_control_ans0_att18_acc61.csv,145,control,0,18,61
0.0043475223,0.99565244,pp144_guess_ans0_att17_acc73.csv,144,guess,0,17,73
0.67789894,0.3221011,pp287_control_ans0_att20_acc69.csv,287,control,0,20,69
0.19834709,0.8016529,pp387_control_ans0_att20_acc62.csv,387,control,0,20,62
0.22571331,0.7742867,pp468_guess_ans0_att20_acc64.csv,468,guess,0,20,64
0.04338887,0.9566111,pp536_guess_ans0_att20_acc54.csv,536,guess,0,20,54
0.9498706,0.05012941,pp452_guess_ans0_att20_acc76.csv,452,guess,0,20,76
