t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
4.4565616,1.3294197,0.49814287,-0.7020706,0.7241574,5.4241676,0.0004163519,pp161_guess_ans0_att20_acc97.csv,161,guess,0,20,97
2.2380376,1.4154664,0.43789512,-0.39389223,0.07005781,4.8611865,0.005623054,pp206_control_ans0_att20_acc79.csv,206,control,0,20,79
0.9568452,1.0703903,0.42685348,-0.19624953,0.815556,3.5056171,0.0022827024,pp125_guess_ans0_att20_acc83.csv,125,guess,0,20,83
0.7619368,0.7014702,0.4272791,-0.31231722,0.58932847,3.0788345,0.0030528104,pp166_control_ans0_att20_acc80.csv,166,control,0,20,80
0.87350744,1.0151591,0.5025658,-0.08087621,0.58005154,3.1753054,-0.002986228,pp180_control_ans0_att20_acc72.csv,180,control,0,20,72
2.588799,1.4175463,0.56642705,-1.0049101,0.56001467,4.5970893,-0.00029050995,pp264_control_ans0_att20_acc94.csv,264,control,0,20,94
2.1153848,1.405437,0.49078253,-0.27294874,0.008331635,4.6002817,-0.01759595,pp132_control_ans0_att18_acc69.csv,132,control,0,18,69
1.0607342,1.0426047,0.49690065,-0.9744807,0.61764616,0.9401297,0.019918354,pp199_guess_ans0_att20_acc68.csv,199,guess,0,20,68
0.9979536,1.3410839,0.50204587,-0.14508165,0.0006466373,3.7830625,0.0032566178,pp330_control_ans0_att18_acc59.csv,330,control,0,18,59
0.7057385,0.46696684,0.5948999,-0.2956789,-0.038001016,3.0225687,-0.004970063,pp152_control_ans0_att20_acc60.csv,152,control,0,20,60
0.7329861,1.0821075,0.4581935,-0.30833435,0.2918404,3.3230548,0.00011081209,pp379_guess_ans0_att19_acc74.csv,379,guess,0,19,74
0.6918833,0.45135674,0.5400738,-0.8002272,0.47886655,1.2724416,0.022479719,pp341_guess_ans0_att20_acc69.csv,341,guess,0,20,69
0.96565264,1.3882047,0.51360893,-0.20278293,0.20051874,3.7867742,0.0073150164,pp297_guess_ans0_att19_acc69.csv,297,guess,0,19,69
1.7254063,1.4074131,0.60906774,-0.11896549,-0.053657323,4.2182035,-0.015275699,pp146_control_ans0_att17_acc61.csv,146,control,0,17,61
0.84167784,1.2748691,0.4956858,-0.16452624,0.28653347,3.8382993,-0.0090899905,pp408_control_ans0_att19_acc70.csv,408,control,0,19,70
1.708896,1.3391181,0.38445288,-0.6642773,0.4397599,3.1513116,0.0010711376,pp236_control_ans0_att20_acc81.csv,236,control,0,20,81
1.7445182,1.3466259,0.38821593,-0.2807327,1.2047316,1.8131893,0.010891782,pp139_guess_ans0_att20_acc77.csv,139,guess,0,20,77
0.8928076,1.2146846,0.49883994,-0.3915608,0.45698527,2.948324,0.044345427,pp311_guess_ans0_att20_acc77.csv,311,guess,0,20,77
0.7851045,0.62613755,0.5579149,-0.04823544,0.5512804,2.0310373,0.0070020678,pp375_guess_ans0_att20_acc64.csv,375,guess,0,20,64
1.0091413,0.85134375,0.49109277,-0.5422397,0.05497933,2.0203266,-0.013039302,pp441_guess_ans0_att18_acc64.csv,441,guess,0,18,64
0.77206427,0.73266494,0.53306156,-0.09455175,0.41019198,1.8467023,-0.011948622,pp355_guess_ans0_att16_acc61.csv,355,guess,0,16,61
0.7350953,0.8212915,0.57461506,-0.07843507,0.53737533,2.036062,0.0023428265,pp327_guess_ans0_att17_acc63.csv,327,guess,0,17,63
1.1011118,1.2412398,0.5115865,-0.45134044,0.22719641,3.9298143,0.015020772,pp162_control_ans0_att20_acc81.csv,162,control,0,20,81
1.8367008,1.3746157,0.52855575,-0.4214111,0.33489847,2.3324876,0.010115702,pp130_control_ans0_att20_acc69.csv,130,control,0,20,69
0.71253574,0.90186083,0.48306298,-0.62664723,0.053900823,2.7044148,-0.003335624,pp121_guess_ans0_att20_acc70.csv,121,guess,0,20,70
2.5185943,1.3687413,0.50764126,-0.6671364,0.7066315,5.1973767,0.010634005,pp234_control_ans0_att20_acc96.csv,234,control,0,20,96
2.4562345,1.3966278,0.5415188,-0.1289718,0.78265196,4.1790457,0.00029856391,pp172_control_ans0_att20_acc78.csv,172,control,0,20,78
1.0882639,1.3503902,0.553973,-0.7468212,0.46095538,3.2835035,0.022241015,pp275_guess_ans0_att20_acc86.csv,275,guess,0,20,86
0.22427559,0.63517904,0.5662238,-0.16844225,0.19454537,2.489204,0.013990615,pp157_guess_ans0_att14_acc59.csv,157,guess,0,14,59
0.8998129,1.0060823,0.5180627,-0.1021804,-0.020183269,3.3920574,-0.008844296,pp117_guess_ans0_att12_acc52.csv,117,guess,0,12,52
0.7955549,1.1670071,0.53377986,-0.29389012,0.42377675,3.3495762,-0.011152616,pp334_control_ans0_att20_acc76.csv,334,control,0,20,76
1.084548,1.205783,0.5268861,-0.4628367,0.41108587,1.9748168,-0.017298492,pp377_guess_ans0_att20_acc71.csv,377,guess,0,20,71
3.998244,1.4043653,0.55345756,-1.5290973,0.97917384,4.0535665,0.006636498,pp352_control_ans0_att20_acc99.csv,352,control,0,20,99
0.783186,0.60454255,0.5084484,-0.16682664,0.42698765,2.893436,-0.004318705,pp397_guess_ans0_att20_acc70.csv,397,guess,0,20,70
0.56064487,0.9924821,0.58525455,-0.18780547,0.17507844,3.6069965,0.0057973647,pp155_guess_ans0_att20_acc70.csv,155,guess,0,20,70
1.8707918,1.3906426,0.50105923,-0.4084091,0.32000712,4.7794166,-0.0033324286,pp372_control_ans0_att20_acc88.csv,372,control,0,20,88
1.1578068,1.2224418,0.49689174,-0.1772495,0.49996847,3.5435398,0.00878354,pp388_control_ans0_att20_acc75.csv,388,control,0,20,75
4.5681295,1.3929669,0.58069247,-0.707298,0.49840882,6.7548523,0.021804793,pp306_control_ans0_att20_acc97.csv,306,control,0,20,97
0.9459753,1.2151631,0.49232787,-0.58534735,0.33450297,4.297464,-0.007850321,pp447_guess_ans0_att20_acc87.csv,447,guess,0,20,87
1.049223,1.1263595,0.44286904,-0.2582853,0.6033995,2.506782,-0.0053737103,pp353_guess_ans0_att20_acc75.csv,353,guess,0,20,75
5.9419074,1.4225944,0.581069,-0.32435504,-0.24629094,5.327397,0.011769334,pp272_control_ans0_att20_acc91.csv,272,control,0,20,91
2.8568597,1.4084102,0.53292614,-0.30900243,0.20907351,4.936553,0.011190017,pp226_control_ans0_att20_acc86.csv,226,control,0,20,86
0.3979582,0.43999848,0.5468652,-0.25683594,0.58758754,1.7255516,0.017005684,pp244_control_ans0_att18_acc66.csv,244,control,0,18,66
4.078393,1.3205701,0.45437974,-0.2433365,0.528266,3.9419777,0.0153426,pp268_control_ans0_att20_acc83.csv,268,control,0,20,83
1.2536174,1.3133938,0.5416101,-0.50175416,0.43027622,2.4576955,0.0230301,pp429_guess_ans0_att20_acc75.csv,429,guess,0,20,75
0.8902952,1.2091391,0.5432796,-0.23599051,0.35983133,3.1891716,0.020777626,pp285_guess_ans0_att20_acc71.csv,285,guess,0,20,71
0.8149561,0.54197925,0.6127469,-0.4510369,0.82472235,0.7875555,0.018646292,pp390_control_ans0_att19_acc63.csv,390,control,0,19,63
6.1581917,1.4228106,0.49968663,-0.4265167,0.8823444,3.3014855,0.012832175,pp318_control_ans0_att20_acc87.csv,318,control,0,20,87
