file,r_alpha_a,r_alpha_t0,r_a_t0,pp,cond,ans,att,acc
pp160_control_ans0_att18_acc59.csv,0.4659917585659424,-0.3121866285835195,-0.612130054892256,160,control,0,18,59
pp436_control_ans0_att20_acc70.csv,-0.6813055024831101,-0.39448208378259786,-0.03738032660616552,436,control,0,20,70
pp191_guess_ans0_att16_acc60.csv,0.8043961965315484,-0.18136275545504724,-0.5084562738019207,191,guess,0,16,60
pp255_guess_ans0_att19_acc76.csv,-0.850279068663637,-0.3135306396269222,0.17010839994025703,255,guess,0,19,76
pp183_guess_ans0_att19_acc80.csv,-0.7619620454886551,-0.06764515819660083,-0.20700717127512477,183,guess,0,19,80
pp228_control_ans0_att20_acc76.csv,-0.7170999461788544,-0.42787170043587425,0.06922063084120385,228,control,0,20,76
pp271_guess_ans0_att19_acc65.csv,0.3796923742826338,-0.27927031479134434,-0.5337501836318977,271,guess,0,19,65
pp237_guess_ans0_att20_acc75.csv,-0.6921442817329573,-0.37494055892134814,0.059150570794974495,237,guess,0,20,75
pp335_guess_ans0_att20_acc73.csv,-0.5281656040989873,-0.4324954947544642,-0.156061793887827,335,guess,0,20,73
pp279_guess_ans0_att20_acc77.csv,-0.5449168315578892,-0.27607799749723916,0.0971541067510981,279,guess,0,20,77
pp253_guess_ans0_att19_acc64.csv,-0.8248211293342529,-0.23129728225209584,0.13071505832063138,253,guess,0,19,64
pp260_control_ans0_att20_acc91.csv,-0.7621525698731298,-0.18489485714550488,0.032136662099899314,260,control,0,20,91
pp280_control_ans0_att20_acc71.csv,-0.5287456400623017,-0.3712068472384717,-0.21673446749992667,280,control,0,20,71
pp422_control_ans0_att20_acc91.csv,-0.03510357340659362,-0.11951676136786339,-0.14786776453546804,422,control,0,20,91
pp340_control_ans0_att20_acc72.csv,0.2451507999611568,-0.25782103097202436,-0.6932529151655527,340,control,0,20,72
pp242_control_ans0_att20_acc86.csv,-0.7661834072929591,-0.23598012259822707,0.07838602979780904,242,control,0,20,86
pp120_control_ans0_att20_acc100.csv,-0.1686411364900785,-0.12201287135736834,-0.20875526800499902,120,control,0,20,100
pp419_guess_ans0_att20_acc66.csv,-0.41628931144027964,0.02591441257955629,-0.09109884258736525,419,guess,0,20,66
pp303_guess_ans0_att20_acc92.csv,-0.7883992743630965,-0.08622680243572034,-0.14432095625199637,303,guess,0,20,92
pp140_control_ans0_att19_acc65.csv,-0.5398298565823807,-0.10215653044583099,-0.21232682730961827,140,control,0,19,65
pp144_control_ans0_att20_acc90.csv,-0.8543767297419982,-0.10281760782102715,-0.08606200357326434,144,control,0,20,90
pp224_control_ans0_att20_acc82.csv,-0.29374331959141076,-0.17256880366215646,-0.5676440855158144,224,control,0,20,82
pp365_guess_ans0_att20_acc62.csv,0.3608637518936252,-0.3734077283779387,-0.6890736687085659,365,guess,0,20,62
pp135_guess_ans0_att20_acc92.csv,-0.7651429968750616,-0.09599091592750199,-0.21990232468752488,135,guess,0,20,92
pp149_guess_ans0_att19_acc92.csv,-0.47474308658105957,-0.25473460222758126,-0.05708940880689634,149,guess,0,19,92
pp426_control_ans0_att20_acc85.csv,-0.8014938319114427,0.06187111392617273,-0.33666147139791175,426,control,0,20,85
pp443_guess_ans0_att19_acc64.csv,0.7930799167879213,-0.19534969389987022,-0.47056277655755024,443,guess,0,19,64
pp218_control_ans0_att18_acc66.csv,0.04434561685192491,-0.39074758276307764,-0.49326724574535225,218,control,0,18,66
pp325_guess_ans0_att20_acc75.csv,-0.10279034127919084,-0.14471812997465636,0.035683450737715845,325,guess,0,20,75
pp349_guess_ans0_att20_acc82.csv,-0.7476364940911827,-0.20778542558930987,0.09350921226553366,349,guess,0,20,82
pp304_control_ans0_att19_acc69.csv,-0.5046201433216765,-0.4360172969701297,-0.10020610537540159,304,control,0,19,69
pp225_guess_ans0_att20_acc93.csv,-0.8014980475355118,-0.06398879538642917,-0.18563877728450306,225,guess,0,20,93
pp174_control_ans0_att20_acc92.csv,-0.42502185507949064,-0.20590332792215701,-0.12347280534926572,174,control,0,20,92
pp210_control_ans0_att20_acc81.csv,-0.5390807157216375,-0.38777246893404477,-0.12229981986881164,210,control,0,20,81
pp246_control_ans0_att19_acc68.csv,0.3103308164910061,-0.4069897572563412,-0.5825907694603151,246,control,0,19,68
pp313_guess_ans0_att20_acc86.csv,-0.7685196364507998,-0.22173137413872304,0.0832940474538228,313,guess,0,20,86
pp212_control_ans0_att20_acc64.csv,-0.6192806186810541,-0.5925415406745279,0.11466664738167175,212,control,0,20,64
pp245_guess_ans0_att20_acc98.csv,-0.34005256844309073,-0.24082836386393805,-0.47653661930140406,245,guess,0,20,98
pp189_guess_ans0_att16_acc61.csv,-0.5508441646566824,-0.13778183321835477,-0.1563241862278544,189,guess,0,16,61
pp440_control_ans0_att20_acc93.csv,-0.7879958247119668,-0.10181152430824082,-0.08895876650665155,440,control,0,20,93
pp247_guess_ans0_att17_acc61.csv,-0.4858024841743211,-0.1479383000377989,-0.27247589187492566,247,guess,0,17,61
pp133_guess_ans0_att20_acc70.csv,-0.6342372200994122,-0.13387560814757038,-0.2790300845419494,133,guess,0,20,70
pp161_guess_ans0_att20_acc97.csv,-0.5862557336878996,0.14199723058249952,-0.7161337119540305,161,guess,0,20,97
