file,r_alpha_a,r_alpha_t0,r_a_t0,pp,cond,ans,att,acc
pp160_control_ans0_att18_acc59.csv,-0.01849087331865542,0.016988977750805184,-0.7550587082938617,160,control,0,18,59
pp436_control_ans0_att20_acc70.csv,-0.02801353171705744,0.017682993652346903,-0.46281838239859296,436,control,0,20,70
pp191_guess_ans0_att16_acc60.csv,-0.008896639030602924,0.0034999218789360494,-0.4611772647975475,191,guess,0,16,60
pp255_guess_ans0_att19_acc76.csv,0.0015636890696865797,-0.00041298638324435455,-0.46643791743417035,255,guess,0,19,76
pp183_guess_ans0_att19_acc80.csv,0.014706083092777005,-0.0009350278560116258,-0.4151889298159901,183,guess,0,19,80
pp228_control_ans0_att20_acc76.csv,-0.005587707819923936,-0.00399042664122646,-0.5857089070454351,228,control,0,20,76
pp271_guess_ans0_att19_acc65.csv,0.013233438404525759,-0.006042456944811308,-0.5078259805172138,271,guess,0,19,65
pp237_guess_ans0_att20_acc75.csv,0.007524761065858427,-0.003829808105886069,-0.6719421222195848,237,guess,0,20,75
pp335_guess_ans0_att20_acc73.csv,0.025020420034937443,-0.014860252064444064,-0.6090356819581844,335,guess,0,20,73
pp279_guess_ans0_att20_acc77.csv,-0.012512447781209513,0.01513646935092207,-0.4754579858484019,279,guess,0,20,77
pp253_guess_ans0_att19_acc64.csv,-0.002228466914036306,0.008952052681725286,-0.6092928527348552,253,guess,0,19,64
pp260_control_ans0_att20_acc91.csv,0.02336589565820527,-0.0067693370817253256,-0.6515637899232893,260,control,0,20,91
pp280_control_ans0_att20_acc71.csv,0.011215710892014395,-0.0029646212539574082,-0.5888697905934054,280,control,0,20,71
pp422_control_ans0_att20_acc91.csv,-0.017044174414524868,0.021824811651387232,-0.6270183459725834,422,control,0,20,91
pp340_control_ans0_att20_acc72.csv,-0.008966901996690174,0.018518647814636708,-0.7245264956599479,340,control,0,20,72
pp242_control_ans0_att20_acc86.csv,-0.00597111673765697,0.024701611137869887,-0.4745965388271627,242,control,0,20,86
pp120_control_ans0_att20_acc100.csv,0.00024497909176791785,0.019446923432589046,-0.528925958233314,120,control,0,20,100
pp419_guess_ans0_att20_acc66.csv,0.014302574523056503,-0.01903591708285684,-0.4562083696379036,419,guess,0,20,66
pp303_guess_ans0_att20_acc92.csv,0.009460483158584597,-0.02164451543486077,-0.6957837928233669,303,guess,0,20,92
pp140_control_ans0_att19_acc65.csv,0.00722524696012612,0.008853153008001989,-0.6746742418142964,140,control,0,19,65
pp144_control_ans0_att20_acc90.csv,-0.026116304807321515,0.010319406439837088,-0.4900630332760981,144,control,0,20,90
pp224_control_ans0_att20_acc82.csv,0.00468480477230598,-0.003234447408831958,-0.6939386583731072,224,control,0,20,82
pp365_guess_ans0_att20_acc62.csv,-0.013586068848623737,0.011391787203046011,-0.6953427209441065,365,guess,0,20,62
