pp,symbol,cond,accuracy,meanRT_correct,meanRT_incorrect,meanRTlog_correct,meanRTlog_incorrect,0.1_correct,0.25_correct,0.3_correct,0.5_correct,0.7_correct,0.75_correct,0.9_correct,0.1_incorrect,0.25_incorrect,0.3_incorrect,0.5_incorrect,0.7_incorrect,0.75_incorrect,0.9_incorrect,skew_correct,stdRT_correct,skew_incorrect,stdRT_incorrect,n_trials,fast_errors,origin,model,study
155,0,guess,0.6590909090909091,4.912982758620689,3.117766666666667,1.2325022822654996,0.8373091297059522,1.2355,1.963,2.213,3.262,4.5760000000000005,4.95075,10.407,0.8536,1.3595000000000002,1.4425,2.202,3.2988999999999997,3.5115,5.964400000000002,2.1601213648261584,4.8757946206037905,3.4260525747893977,3.0906199222736532,176,1,empirical,none,1
155,1,guess,0.75,3.2869772727272726,3.9302045454545453,0.8063554576458569,0.9909183174850944,0.8617,1.07325,1.204,2.0665,3.445399999999998,4.15975,7.2186,0.9057999999999999,1.485,1.7135,2.5175,4.452499999999999,5.0205,9.474300000000008,3.115586072201168,3.6037594057374807,1.9754788942045762,3.9205380123173614,176,0,empirical,none,1
156,0,control,0.9593023255813954,9.018654545454545,10.300857142857142,2.1826077131144825,2.3200987459340348,7.1762,7.892,8.077,8.781,9.554,9.853,11.315399999999999,8.5754,9.1705,9.2242,10.191,11.498199999999999,11.5135,12.0154,0.7687975618908225,1.690575582653786,-0.01689316795986358,1.7125074626184287,172,0,empirical,none,1
156,1,control,0.9880239520958084,8.819442424242425,10.6755,2.161552300274548,2.3675911503561595,6.97,7.551,7.7734,8.673,9.6208,9.877,10.862,10.446299999999999,10.53225,10.5609,10.6755,10.790099999999999,10.81875,10.9047,0.4461941721543022,1.5637715015835334,,0.40517218561989204,167,0,empirical,none,1
157,0,guess,0.484472049689441,2.3264641025641026,1.5554915662650601,0.576668388777381,0.23533119669220007,0.7636999999999999,0.9967250000000001,1.0986,1.7976,2.3501,2.8964499999999997,4.441689999999999,0.68284,0.9093,0.9508399999999999,1.163,1.41482,1.59455,2.659939999999999,2.336688373862415,2.0455086873741726,3.4683226342455193,1.411903355378124,161,1,empirical,none,1
157,1,guess,0.6871165644171779,2.2756580357142857,2.4226098039215684,0.5325005019777044,0.5768746495302177,0.7671300000000001,1.055425,1.1134199999999999,1.37465,2.2330299999999994,2.46995,5.444570000000002,0.7022,0.9540500000000001,1.0106,1.6144,2.4646,2.8325,6.1299,2.0541984855929702,2.0912933082224328,1.6116574816620883,2.102940083431281,163,0,empirical,none,1
160,0,control,0.9248554913294798,1.7506575000000002,2.2591076923076923,0.44773780140624647,0.7150765110241456,0.77626,1.17565,1.2299499999999999,1.57375,2.00911,2.1974,2.804239999999999,1.44436,1.7249,1.81478,2.0606,2.35132,2.4637,3.6416400000000007,1.2318836458999822,0.8574366802116221,0.9653340952507009,1.0179384914796656,173,0,empirical,none,1
160,1,control,0.25287356321839083,2.2324522727272726,1.8691007692307693,0.7230652793447416,0.5461758930862893,1.1240299999999999,1.683775,1.7654999999999998,2.09955,2.4142,2.6010750000000002,3.547340000000001,1.02341,1.286025,1.36356,1.84355,2.1658,2.24565,2.7811400000000006,0.7682389359438653,0.8991141088273441,1.109758743112924,0.7553243026988247,174,1,empirical,none,1
161,0,guess,0.9766081871345029,8.28025748502994,7.77075,2.076582559860195,2.043222439312695,5.8594,6.524,6.897,7.742,8.7142,9.136,11.8902,6.8235,6.92025,6.952500000000001,7.683,8.448599999999999,8.5335,8.7882,1.0969590258796342,2.393818512723194,0.2006559653849996,1.0729962332956562,171,1,empirical,none,1
161,1,guess,0.9705882352941176,7.957612121212121,10.6586,2.044639496679523,2.3171613219645923,5.7408,6.443,6.6924,7.672,8.6136,9.042,10.377199999999998,6.8234,7.823,8.6668,12.042,12.760399999999999,12.94,13.7746,1.169021335864447,2.034185450295435,-0.48698137213636994,3.4967889984956195,170,0,empirical,none,1
162,0,control,0.8103448275862069,4.20054609929078,5.810836363636364,1.1724302102708717,1.4122762459963052,1.5301,2.014,2.141,2.8613,3.853,4.5281,8.2589,1.36292,2.2326,2.4009,3.6719,5.8883,8.8225,13.80648,3.2954113835643786,3.990309437204763,1.0776350029100528,4.913997424438312,174,0,empirical,none,1
162,1,control,0.815028901734104,5.563258865248227,4.390328125,1.3891447061034983,1.220524596037191,1.5812,2.2131,2.4769,3.5669,5.3839,6.7658,12.0684,1.42184,1.911375,2.09613,3.30985,4.88838,5.741425,8.883240000000002,2.121732233125737,5.2665209484341595,1.393291973277569,3.340573479570428,173,1,empirical,none,1
164,0,control,0.8713450292397661,2.5711946308724833,2.7899545454545454,0.800964375884378,0.8746334500375904,1.2326000000000001,1.557,1.6884,2.033,2.7314,3.055,4.440200000000001,1.3146,1.51725,1.5777,1.9885,3.0938,3.57125,5.411700000000002,1.8544655330179887,1.5609399744239882,1.2396455576941117,1.6800120032811763,171,0,empirical,none,1
164,1,control,0.4476744186046512,2.708727272727273,3.0806315789473686,0.8913684817681193,0.9584495242853237,1.4192,1.748,1.868,2.417,3.1626,3.38,4.4694,1.2713999999999999,1.8425,2.0343999999999998,2.572,3.2082,3.4195,6.1724000000000006,1.1828047207135264,1.3104442159291636,1.3144598112809163,1.8826827342161414,172,0,empirical,none,1
166,0,control,0.7784090909090909,2.6940138686131387,3.4621538461538464,0.8398608489616588,1.0850739294044605,1.14272,1.5665,1.68136,2.2933,3.1574399999999994,3.3086,4.753060000000002,1.03934,2.17185,2.2915,2.6852,4.48334,4.7438,6.0723,1.6223665490547023,1.6164124034317515,0.4447360826256555,1.8327114515536453,176,0,empirical,none,1
166,1,control,0.8181818181818182,2.9937298611111114,2.15905625,0.9627457993916599,0.6354097379980231,1.3199800000000002,1.793775,2.05468,2.62925,3.3663000000000003,3.5885,5.1965200000000005,0.90391,1.488775,1.5820699999999999,1.86685,1.99058,2.363025,3.7316600000000015,1.5217752965387787,1.6555529710254844,2.3352179568915488,1.3228847166356048,176,1,empirical,none,1
170,0,control,0.52,3.0807,3.277739285714286,0.9993341740748493,1.0838550545025485,1.5521,1.92415,2.0698,2.5784,3.467599999999999,3.74505,5.4615,1.64597,2.216025,2.33309,2.7378,3.935109999999999,4.222625,5.57965,1.4615829903662199,1.6752178360506498,1.0649658183639836,1.5571373168795228,175,0,empirical,none,1
170,1,control,0.5722543352601156,3.6139929292929294,3.443402702702703,1.1690718439919354,1.1257791784006224,1.79226,2.20415,2.37902,2.9461,4.267399999999999,4.524649999999999,5.904280000000001,1.7518,2.0251,2.15919,2.90215,4.05424,4.543125,5.56554,1.3496572745317303,1.8802247864557462,1.0585330651457199,1.6826022611739422,173,1,empirical,none,1
172,0,control,0.5617283950617284,6.8657582417582415,6.608957746478873,1.8263837983635924,1.8101974188810608,3.62,4.330500000000001,4.709,5.877,8.075,8.563500000000001,12.018,3.595,4.6365,4.714,5.991,7.179,8.16,10.395,0.986386432942195,3.196958604467897,1.0402870474909816,2.7496930500726267,162,1,empirical,none,1
172,1,control,0.9884393063583815,4.969292397660819,6.896,1.524859983536181,1.930917308098745,3.152,3.689,3.853,4.38,5.041,5.3285,7.029,6.8576,6.872,6.8768,6.896,6.9152,6.92,6.9344,2.5665618515079984,2.338849075155048,,0.06788225099390863,173,0,empirical,none,1
174,0,control,0.8734939759036144,10.864124827586206,12.335219047619049,2.213057916560202,2.30343536085709,4.39506,6.3274,6.866399999999999,9.2856,11.452939999999998,13.1188,18.044179999999997,4.3181,6.5721,6.589,11.4573,16.1048,16.549,21.2181,2.019802089591647,7.136620334628241,0.8052695297621055,7.6885526044645776,166,0,empirical,none,1
174,1,control,0.9757575757575757,9.792340372670807,5.43165,2.143022751888248,1.6003400186927021,4.2088,6.276,6.9688,8.7497,10.4764,12.0019,17.018,3.2009000000000003,4.4321,4.8425,5.58335,6.26352,6.5829,7.541040000000001,1.4278728566381602,5.38454506833422,-0.3574532323057051,2.4046452773746063,165,1,empirical,none,1
176,0,control,0.6896551724137931,2.3475691666666667,2.449088888888889,0.783206313448011,0.8268570456836004,1.32614,1.6967,1.78561,2.1759,2.68145,2.83705,3.5798700000000006,1.49818,1.8226749999999998,1.89599,2.1423,2.6385199999999998,2.951425,3.66866,0.9360633826757057,0.8964721913599174,1.2622082953478957,0.9773939347304128,174,0,empirical,none,1
176,1,control,0.7126436781609196,2.318186290322581,2.3498419999999998,0.7816290694133706,0.7768792876252826,1.40408,1.68375,1.80015,2.2039,2.7747100000000002,2.89895,3.42537,1.20463,1.624025,1.7282,2.3136,2.89335,2.993725,3.66834,0.419352550240633,0.7819347593369266,0.23843596613004053,0.8960981219254773,174,0,empirical,none,1
180,0,control,0.5555555555555556,3.588178947368421,3.127105263157895,1.1009891254949138,1.0189179757217937,1.367,1.8915,2.1018,3.146,4.2302,4.5195,6.244000000000003,1.593,1.91925,2.0825,2.6689999999999996,3.4924999999999997,3.97375,5.054500000000001,1.6319215195382597,2.2712601712506464,1.9160842094139194,1.7279875352864276,171,1,empirical,none,1
180,1,control,0.8895348837209303,3.0663660130718955,3.136052631578947,0.9632868986934117,0.9938950114734366,1.4034,1.749,1.8534,2.527,3.3744,3.502,5.6030000000000015,1.3532000000000002,1.8365,2.0393999999999997,2.559,4.1026,4.304,5.0123999999999995,1.9741551552039234,1.9541404078453855,0.6109165582117405,1.6772956564953734,172,0,empirical,none,1
183,0,guess,0.6875,4.609404958677686,3.374127272727273,1.3435146694062425,1.0550807021965491,1.492,2.385,2.755,4.105,5.437,6.177,8.468,1.4262000000000001,1.92,1.9953999999999998,3.105,3.7954,4.468500000000001,6.0094,1.017097554210486,2.742786458994188,1.1149555179180455,1.9441524484363208,176,1,empirical,none,1
183,1,guess,0.9147727272727273,3.4849627329192545,2.646666666666667,1.0963578175171385,0.8219604720885964,1.272,2.118,2.269,3.174,4.204,4.415,5.625,1.0802,1.4195,1.6218000000000004,2.349,3.1454,3.1965,3.9303999999999997,1.3189955223315244,1.9357540387669308,1.222731665506848,1.5021660868162856,176,1,empirical,none,1
189,0,guess,0.49411764705882355,4.806511904761905,5.884709302325581,1.4149380731793164,1.4361481928248039,2.0636,2.66325,3.0242999999999998,4.2204999999999995,5.2917999999999985,6.12875,9.5066,1.3205,2.2199999999999998,2.912,4.034,6.75399999999999,8.70375,12.6165,1.1100719126976488,2.763622895020351,1.5160696917748766,5.00262947297843,170,0,empirical,none,1
189,1,guess,0.7298850574712644,4.773968503937008,5.181872340425532,1.335753588416917,1.4458464704837455,1.4682,2.4825,2.6713999999999998,4.07,5.451,5.8235,8.721,2.0092000000000003,2.5545,2.668,4.403,5.6014,6.135999999999999,9.708199999999998,1.5788652172141286,3.375132900233443,1.453502500579209,3.532787824004678,174,0,empirical,none,1
190,0,control,0.6724137931034483,4.224611111111111,4.63269649122807,1.3246716930684472,1.4222468480364556,2.14146,2.6081,2.78014,3.5787,4.733859999999999,5.3274,7.413280000000001,2.23602,2.8342,3.04462,4.1083,5.799599999999999,6.1589,7.04674,1.5245177184059362,2.229255453670643,0.9160369542359121,2.2388762866961462,174,0,empirical,none,1
190,1,control,0.8579545454545454,3.7340099337748347,3.9021559999999997,1.2034813515380733,1.2970295417972155,1.8037,2.42645,2.6906,3.2385,4.4657,4.7356,6.0084,2.34456,2.7018,2.95838,3.2886,4.53592,4.5667,5.510120000000001,1.22952499346538,1.8644261846747012,1.244353942896227,1.5104348391771159,176,0,empirical,none,1
191,0,guess,0.4540229885057471,1.8231810126582277,1.5651821052631578,0.48349275355277344,0.3303567892746183,0.8716,1.15585,1.24128,1.5518,2.13828,2.50555,2.987960000000001,0.80452,1.00675,1.05358,1.3244,1.72514,1.8317,2.9646800000000004,1.143267343336503,0.9301776639060575,1.6664525814732234,0.8534994210294744,174,1,empirical,none,1
191,1,guess,0.7630057803468208,1.6002909090909092,1.9431048780487805,0.3663628440881497,0.5370864724867326,0.79808,1.055175,1.12268,1.45635,1.79575,1.87595,2.6027400000000007,0.9858,1.208,1.2925,1.576,2.1064,2.1381,3.5825,1.495613712224982,0.7811375338485236,1.325421175831764,1.0770142726424798,173,0,empirical,none,1
192,0,control,0.8176470588235294,5.2223474820143885,5.438693548387097,1.5295453782687698,1.5743680941331804,2.4609199999999998,3.18035,3.42544,4.5989,5.94762,6.29435,9.0704,2.8099,3.72395,3.9589,5.3652,6.0403,6.57005,8.0,1.397974808802324,2.7751258922306783,1.5072233481947068,2.729840769829562,170,0,empirical,none,1
192,1,control,0.8465909090909091,4.582591275167785,5.979337037037038,1.4221003176209102,1.6976752944938651,2.42416,3.0606,3.18766,4.0937,5.25498,5.6763,7.44786,3.1935800000000003,4.402950000000001,4.59114,5.6577,6.55026,7.588900000000001,8.92466,1.2349802971101158,2.1470483689252196,0.8029775314209883,2.5446279253705244,176,0,empirical,none,1
194,0,control,0.9090909090909091,5.32329875,8.6844,1.3445414110793112,1.6666205542847614,1.49588,2.1677,2.2912500000000002,3.48075,5.6512199999999995,6.4031,10.680769999999999,2.34605,2.53635,2.7847,3.65365,9.30905,10.525974999999999,22.49375,2.9066834056060693,5.2849141751537045,1.7779648865737727,9.846619831732445,176,0,empirical,none,1
194,1,control,0.8571428571428571,5.982502666666667,4.384344,1.5308348332068886,1.2683626283180522,1.81349,2.797125,2.95691,4.2791999999999994,6.75567,8.227500000000001,11.809769999999999,1.4071600000000002,2.0946,2.3042399999999996,3.7813,5.23142,6.1498,8.67156,1.959985459425281,4.718384699699174,0.7491737661172393,2.778562189946448,175,1,empirical,none,1
195,0,guess,0.6724137931034483,3.9956188034188034,3.8866631578947373,1.1456686358451793,1.113909551133265,1.3274,1.9467,2.15066,2.9189,4.43232,4.9485,7.914980000000003,1.32658,1.8133,2.0322,2.6684,4.675439999999999,5.5771,7.35064,1.8977076085654823,3.1034308349634614,1.3257495517901385,2.8364264685157967,174,1,empirical,none,1
