t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
1.8486291,1.4377049,0.64457273,-0.15955196,0.41067755,5.827191,1.4074465,pp217_control_ans0_att20_acc72.csv,217,control,0,20,72
0.6699637,0.7761332,0.44067124,0.27861285,0.38135946,1.3881382,1.2459618,pp222_guess_ans0_att12_acc52.csv,222,guess,0,12,52
1.7413468,1.381026,0.52583593,-0.54397804,0.3194634,5.9210296,1.2572163,pp215_control_ans0_att20_acc77.csv,215,control,0,20,77
1.2841839,1.4280976,0.49628866,-0.6402843,0.38869706,6.603847,1.3222848,pp79_control_ans0_att20_acc87.csv,79,control,0,20,87
0.7052624,0.3977153,0.5782142,-0.3224424,0.28349906,1.2269484,1.6713185,pp246_guess_ans0_att19_acc61.csv,246,guess,0,19,61
2.3416624,1.4399139,0.44312733,-0.42483813,0.327219,6.973799,1.3285624,pp532_guess_ans0_att20_acc81.csv,532,guess,0,20,81
0.7133641,0.30925512,0.5200367,-0.31459048,0.44448063,2.3339796,1.3210998,pp313_control_ans0_att20_acc71.csv,313,control,0,20,71
0.6476636,1.4416918,0.6587875,-0.53738874,-0.06635498,7.7344437,1.3844213,pp476_guess_ans0_att19_acc74.csv,476,guess,0,19,74
0.8682846,0.6428083,0.49643725,-0.40699312,0.31300598,2.7122407,1.4911153,pp56_guess_ans0_att20_acc72.csv,56,guess,0,20,72
0.9078299,0.8886142,0.6012857,0.057553295,0.64229196,2.8650465,1.8763275,pp120_guess_ans0_att20_acc65.csv,120,guess,0,20,65
4.791972,1.4337397,0.5728778,-1.0893115,0.7444624,6.318535,1.8672223,pp197_control_ans0_att20_acc100.csv,197,control,0,20,100
0.70786715,1.1181703,0.58747834,-0.36526433,0.049347203,2.0474906,1.1339449,pp301_control_ans0_att17_acc59.csv,301,control,0,17,59
0.7738807,1.414878,0.55145377,-0.13194372,-0.0090019815,5.9306264,1.0294678,pp288_guess_ans0_att18_acc59.csv,288,guess,0,18,59
0.7335614,0.56960773,0.57709026,-0.12108779,0.38313377,1.1610065,1.5890322,pp172_guess_ans0_att19_acc57.csv,172,guess,0,19,57
4.507532,1.4040519,0.76402265,-0.3360973,-0.2145055,8.277759,1.9845102,pp183_control_ans0_att20_acc88.csv,183,control,0,20,88
3.1952245,1.2910906,0.5337534,-0.49532142,0.92517656,6.623229,1.4348297,pp441_control_ans0_att20_acc84.csv,441,control,0,20,84
1.6337394,1.4439181,0.60617214,-0.5166087,-0.18034019,7.4969,1.3964279,pp114_guess_ans0_att20_acc73.csv,114,guess,0,20,73
1.0566713,1.3791082,0.52484715,-0.13755856,0.3063466,3.0637438,1.2065054,pp354_guess_ans0_att18_acc64.csv,354,guess,0,18,64
0.7262102,0.52233577,0.54369617,-0.28617594,0.25013936,1.1334388,1.367525,pp347_control_ans0_att18_acc61.csv,347,control,0,18,61
0.8030694,0.89520586,0.5673765,-0.16836475,0.040752325,2.451208,1.394529,pp324_guess_ans0_att17_acc56.csv,324,guess,0,17,56
2.2685728,1.4450433,0.7539104,-0.33761048,0.06086103,7.9162483,1.8409109,pp171_control_ans0_att20_acc79.csv,171,control,0,20,79
0.7629026,0.412529,0.596745,-0.19790258,0.5040627,3.107166,1.2056932,pp262_guess_ans0_att20_acc68.csv,262,guess,0,20,68
0.7584416,1.0322263,0.30714312,-0.13618866,0.38313702,2.1719627,1.3333776,pp326_guess_ans0_att16_acc63.csv,326,guess,0,16,63
0.81821084,1.3948708,0.53838074,-0.20404007,0.23805551,3.2043571,1.2027882,pp393_control_ans0_att20_acc66.csv,393,control,0,20,66
4.0312185,1.4236695,0.5268733,-0.73396957,0.7439075,7.48704,1.8836172,pp485_control_ans0_att20_acc99.csv,485,control,0,20,99
1.5750469,1.2438709,0.53362566,-0.36613488,0.62237805,2.337635,1.70951,pp137_control_ans0_att20_acc76.csv,137,control,0,20,76
0.8007862,1.4069184,0.5185673,-0.32640326,0.39152318,5.131909,1.0388656,pp178_guess_ans0_att20_acc70.csv,178,guess,0,20,70
2.1325412,1.4269282,0.42950118,-0.40034994,0.60820216,6.1338196,1.4200151,pp439_control_ans0_att20_acc84.csv,439,control,0,20,84
0.7865028,1.2326112,0.49781382,-0.15216668,0.23620147,3.0116599,1.2200463,pp32_guess_ans0_att18_acc62.csv,32,guess,0,18,62
0.80871665,0.89798856,0.7260248,-0.24515368,0.40230772,3.1664426,1.4677078,pp258_guess_ans0_att20_acc69.csv,258,guess,0,20,69
0.8860532,0.9170655,0.5099091,-0.13722467,0.71213907,2.5175042,1.6020378,pp410_guess_ans0_att20_acc72.csv,410,guess,0,20,72
0.80697244,0.36602646,0.437819,-0.34822828,0.248387,2.208807,1.622091,pp345_control_ans0_att19_acc67.csv,345,control,0,19,67
0.9834145,1.0236322,0.41624883,-0.482911,0.46137318,3.8023856,1.6556406,pp251_control_ans0_att20_acc83.csv,251,control,0,20,83
2.46393,1.4244169,0.6751417,-0.8507291,0.25312722,7.5479865,1.4819039,pp341_control_ans0_att20_acc90.csv,341,control,0,20,90
0.7425999,0.40345663,0.3841213,0.19312933,0.58537453,1.755402,1.4184039,pp580_guess_ans0_att20_acc60.csv,580,guess,0,20,60
2.1097715,1.3615818,0.4423332,-0.25145414,0.9599592,7.586767,1.2671084,pp15_control_ans0_att20_acc78.csv,15,control,0,20,78
0.7210689,0.21146604,0.5109249,-0.32287118,0.3302883,1.5845858,1.7684366,pp135_control_ans0_att19_acc65.csv,135,control,0,19,65
1.1095665,1.0770241,0.3642424,-0.49734166,0.36477816,2.453969,1.6229793,pp207_control_ans0_att20_acc72.csv,207,control,0,20,72
0.8909745,0.72981125,0.5743644,-0.24388635,0.6334093,1.6964883,1.4384699,pp64_guess_ans0_att20_acc69.csv,64,guess,0,20,69
1.7633369,1.4292395,0.684134,-0.60009396,0.18732442,7.4973187,1.6216495,pp99_control_ans0_att20_acc89.csv,99,control,0,20,89
1.4807993,1.2993717,0.47428995,-0.3657811,0.78266424,3.0132113,1.3928401,pp138_guess_ans0_att20_acc79.csv,138,guess,0,20,79
0.7016843,0.3203287,0.5580635,-0.20569058,0.31747347,1.680747,1.519786,pp269_control_ans0_att20_acc64.csv,269,control,0,20,64
1.1525298,0.48067978,0.4895496,-0.11597741,0.44866356,2.7388468,1.5784332,pp440_guess_ans0_att19_acc67.csv,440,guess,0,19,67
0.8164596,0.6494925,0.41130352,-0.3387312,0.3795158,2.2175987,1.6166126,pp216_guess_ans0_att19_acc70.csv,216,guess,0,19,70
1.060612,1.4210368,0.6267837,-0.091961384,0.39812928,4.9818387,1.0415179,pp146_guess_ans0_att20_acc61.csv,146,guess,0,20,61
0.7641239,1.405889,0.50944805,-0.5187727,0.43665844,7.4983287,1.1177574,pp366_guess_ans0_att20_acc81.csv,366,guess,0,20,81
0.8734279,0.8361925,0.4818506,-0.5436222,0.25210106,4.0453243,1.7860353,pp80_guess_ans0_att20_acc80.csv,80,guess,0,20,80
1.375408,1.2904444,0.39547345,-0.31338006,0.77543133,2.3423362,1.5777185,pp160_guess_ans0_att20_acc77.csv,160,guess,0,20,77
0.7404127,0.48530713,0.41226932,-0.34366545,0.55644846,1.826224,1.4915329,pp132_guess_ans0_att20_acc72.csv,132,guess,0,20,72
0.9094887,1.3661785,0.710948,-0.19498865,0.45790756,4.213191,1.223583,pp118_guess_ans0_att17_acc67.csv,118,guess,0,17,67
1.7947199,1.1218083,0.47893018,-0.24399894,0.30337158,3.5456684,1.3613657,pp124_guess_ans0_att20_acc67.csv,124,guess,0,20,67
0.8658085,1.158617,0.7156211,-0.17816012,0.31839335,2.6012986,1.4482343,pp103_control_ans0_att19_acc64.csv,103,control,0,19,64
0.83914363,0.19297324,0.45060506,-0.15920241,0.4183792,2.5563095,1.7052015,pp210_guess_ans0_att20_acc69.csv,210,guess,0,20,69
0.77461076,0.71808916,0.6982337,-0.2613691,0.3854144,2.2191815,1.7641519,pp399_control_ans0_att16_acc64.csv,399,control,0,16,64
2.6890144,1.4020265,0.5674594,-0.077314645,0.4894765,5.908839,1.253994,pp195_control_ans0_att19_acc68.csv,195,control,0,19,68
2.896382,1.4428717,0.67209023,-0.48315626,0.28381747,7.67991,1.687857,pp498_guess_ans0_att20_acc84.csv,498,guess,0,20,84
0.7912468,0.43363643,0.42916554,-0.44073325,0.33621776,2.819567,1.2911887,pp499_control_ans0_att20_acc71.csv,499,control,0,20,71
0.72206736,0.6894349,0.62745863,-0.18878527,0.47948876,2.2072198,1.5716293,pp392_guess_ans0_att20_acc67.csv,392,guess,0,20,67
0.8502085,1.3779787,0.7634703,-0.26378554,0.11909493,3.653343,1.1508683,pp318_guess_ans0_att19_acc63.csv,318,guess,0,19,63
0.7309839,0.5324876,0.49972358,-0.57767653,0.29989198,0.8943633,1.5185431,pp566_guess_ans0_att20_acc64.csv,566,guess,0,20,64
0.84998655,0.7049234,0.5938621,-0.45719486,0.23565166,2.486685,1.2348303,pp285_control_ans0_att20_acc69.csv,285,control,0,20,69
3.5249977,1.3430076,0.7605606,-0.22725232,-0.10237015,8.408337,1.9458793,pp249_control_ans0_att19_acc94.csv,249,control,0,19,94
0.89845634,0.36251798,0.4681405,-0.13571285,0.61996,2.152464,1.5510926,pp85_control_ans0_att20_acc69.csv,85,control,0,20,69
1.2701752,1.4256141,0.676696,-0.6835283,0.3677083,7.3879795,1.3967918,pp459_control_ans0_att19_acc86.csv,459,control,0,19,86
1.269781,1.4298818,0.7386517,-0.2700024,0.07161967,5.341796,1.1303624,pp409_control_ans0_att17_acc64.csv,409,control,0,17,64
1.0864636,0.9978485,0.47672,-0.2614848,0.55015475,3.4287171,1.5563543,pp46_guess_ans0_att20_acc76.csv,46,guess,0,20,76
1.4483161,1.4410819,0.6198051,-0.32496628,0.12744346,6.922219,1.2607678,pp561_control_ans0_att20_acc74.csv,561,control,0,20,74
0.7806517,0.6526171,0.5364197,-0.31989983,0.21399802,1.8547009,1.3574005,pp468_guess_ans0_att20_acc64.csv,468,guess,0,20,64
2.2692692,1.32825,0.572052,-0.7495713,0.63940597,7.207469,1.6662154,pp594_guess_ans0_att20_acc94.csv,594,guess,0,20,94
0.96710753,1.4251596,0.6042707,-0.3184001,0.21373144,4.297251,1.149607,pp27_control_ans0_att19_acc69.csv,27,control,0,19,69
0.9672741,1.149029,0.46684253,-0.36020133,0.25903034,2.7158322,1.7920295,pp346_guess_ans0_att20_acc70.csv,346,guess,0,20,70
4.923084,1.4458054,0.4497645,-0.6116129,0.1104406,7.4166384,1.8104848,pp519_control_ans0_att20_acc83.csv,519,control,0,20,83
4.4311066,1.3370715,0.4609882,-0.7998685,0.8347803,5.7206874,1.9795668,pp175_control_ans0_att20_acc99.csv,175,control,0,20,99
1.3293686,1.2851198,0.4121639,-0.24708462,0.6809815,1.6736898,1.5051546,pp126_guess_ans0_att20_acc70.csv,126,guess,0,20,70
1.8374691,1.3164163,0.49355903,-0.36182186,0.54584914,2.691829,1.5110582,pp202_guess_ans0_att20_acc75.csv,202,guess,0,20,75
0.91228265,0.9203297,0.4629397,-0.19576551,0.38273627,3.504507,1.1654153,pp371_control_ans0_att20_acc67.csv,371,control,0,20,67
1.0095628,1.43283,0.5654921,-0.21682349,0.36585993,5.24234,1.0656816,pp229_control_ans0_att18_acc65.csv,229,control,0,18,65
1.126375,0.4506815,0.47821411,-0.35353753,0.4200979,3.0612044,1.7538127,pp101_control_ans0_att20_acc76.csv,101,control,0,20,76
0.91467977,1.3079289,0.4866084,-0.294011,0.34900331,3.308109,1.3007826,pp472_guess_ans0_att20_acc73.csv,472,guess,0,20,73
2.6289294,1.4176097,0.5019657,-0.5290584,0.4586402,7.001318,1.2961123,pp604_guess_ans0_att17_acc82.csv,604,guess,0,17,82
1.4055154,1.3426372,0.6403507,0.13392307,0.8625499,2.2938735,1.6655502,pp418_guess_ans0_att19_acc63.csv,418,guess,0,19,63
0.8898091,0.8560045,0.67133707,-0.18561605,0.4786563,2.2089005,1.5780194,pp489_control_ans0_att19_acc66.csv,489,control,0,19,66
4.5323367,0.95586175,0.5508921,-1.130417,0.87370193,7.8213506,1.4900687,pp429_control_ans0_att20_acc95.csv,429,control,0,20,95
0.7161745,0.8489892,0.64655286,-0.13450538,0.22762583,1.8888757,1.8268074,pp491_control_ans0_att16_acc56.csv,491,control,0,16,56
5.253839,0.93269676,0.37712684,-1.0373739,1.2529165,6.093364,1.8101449,pp445_control_ans0_att20_acc98.csv,445,control,0,20,98
3.3733356,1.2592368,0.599535,-1.153224,1.0536386,6.9785757,1.1587702,pp386_guess_ans0_att20_acc88.csv,386,guess,0,20,88
2.003481,1.3298997,0.5441715,-0.577007,0.45903838,2.0722356,1.5531178,pp460_guess_ans0_att19_acc76.csv,460,guess,0,19,76
5.410069,1.42952,0.6834244,-0.6070718,0.28072742,7.9723883,1.9971266,pp431_control_ans0_att20_acc100.csv,431,control,0,20,100
0.6993439,0.7495529,0.62362295,-0.5459815,0.16598743,1.0283741,1.527075,pp276_guess_ans0_att14_acc62.csv,276,guess,0,14,62
1.1781094,1.0441325,0.6358423,-0.13645464,0.2301281,0.97725517,1.6021122,pp397_control_ans0_att19_acc56.csv,397,control,0,19,56
0.72070813,0.5675339,0.47850677,-0.12675412,0.41843012,2.693049,1.3739362,pp385_control_ans0_att18_acc67.csv,385,control,0,18,67
1.7626348,1.3866144,0.5572827,-0.7008267,0.7543461,6.65475,1.6117663,pp601_control_ans0_att20_acc93.csv,601,control,0,20,93
1.0843012,1.1217616,0.5513406,-0.33377296,0.4068229,3.5589023,1.3286536,pp65_control_ans0_att20_acc73.csv,65,control,0,20,73
0.7376966,0.76313025,0.4370704,-0.24133264,0.42626944,1.3331723,1.4632002,pp294_guess_ans0_att17_acc64.csv,294,guess,0,17,64
1.2742698,0.72616565,0.44581914,-0.7233985,0.93044895,4.49228,1.6976539,pp295_control_ans0_att20_acc93.csv,295,control,0,20,93
4.3975224,1.4433695,0.7433203,-0.16853473,-0.09031544,7.9928055,1.9416696,pp479_control_ans0_att20_acc68.csv,479,control,0,20,68
0.8239272,0.5142391,0.50478584,-0.67699873,-0.19184832,1.6437848,1.7500832,pp456_guess_ans0_att20_acc61.csv,456,guess,0,20,61
1.1866446,1.3548812,0.6932855,-0.30687052,0.367714,4.3600287,1.1648024,pp257_control_ans0_att20_acc69.csv,257,control,0,20,69
0.8707127,1.0019956,0.47094,-0.6039191,0.4516093,4.664473,1.209978,pp433_control_ans0_att19_acc78.csv,433,control,0,19,78
0.7105432,0.4532669,0.49215773,-0.22798271,0.7243524,0.5200195,1.581144,pp248_guess_ans0_att19_acc62.csv,248,guess,0,19,62
1.3992993,1.1550001,0.50594664,-0.20855913,0.4182084,2.1966515,1.5524242,pp464_guess_ans0_att20_acc67.csv,464,guess,0,20,67
2.6154854,1.0950091,0.5389972,-0.7488702,0.96502364,7.3360853,1.1419826,pp279_control_ans0_att19_acc84.csv,279,control,0,19,84
1.351658,1.3498715,0.54005957,-0.09802232,0.009235606,3.1556125,1.4576256,pp245_control_ans0_att15_acc54.csv,245,control,0,15,54
1.7682179,1.4320172,0.46336514,-0.36788592,0.43548024,4.5480037,1.6773841,pp565_control_ans0_att20_acc83.csv,565,control,0,20,83
1.7557936,1.1387432,0.47649384,-0.2830481,0.28405538,3.491539,1.6203147,pp361_control_ans0_att20_acc69.csv,361,control,0,20,69
1.2026244,1.1327031,0.52504426,-0.26337636,0.4007836,1.635428,1.7169125,pp395_control_ans0_att20_acc65.csv,395,control,0,20,65
