t0,st0,zr,v0,v1,a,alpha,file,pp,cond,ans,att,acc
1.0122916,1.3306305,0.33983535,-0.72534585,-0.24912103,2.010384,1.6957741,pp160_control_ans0_att18_acc59.csv,160,control,0,18,59
0.90023094,0.9523568,0.47639555,-0.22822686,0.3655036,3.482639,1.3457482,pp436_control_ans0_att20_acc70.csv,436,control,0,20,70
0.7636961,0.74442714,0.6267225,-0.08993026,0.31152156,1.6449916,1.4284952,pp191_guess_ans0_att16_acc60.csv,191,guess,0,16,60
1.5803006,1.3613989,0.37892318,-0.38324332,0.21257095,5.7516823,1.2287192,pp255_guess_ans0_att19_acc76.csv,255,guess,0,19,76
0.8618159,0.9829138,0.5656802,-0.43712628,0.76173604,5.0999274,1.1834736,pp183_guess_ans0_att19_acc80.csv,183,guess,0,19,80
1.2103052,1.4034591,0.4031888,-0.31315508,0.24766628,3.662302,1.496693,pp228_control_ans0_att20_acc76.csv,228,control,0,20,76
0.7256336,0.5743171,0.46629056,0.04343368,0.57416457,2.5855038,1.694023,pp271_guess_ans0_att19_acc65.csv,271,guess,0,19,65
1.2228494,0.30860862,0.46844408,-0.24612996,0.61489177,3.6716015,1.2353227,pp237_guess_ans0_att20_acc75.csv,237,guess,0,20,75
1.133769,1.2275772,0.5749931,-0.4170292,0.30711782,3.2113209,1.5022343,pp335_guess_ans0_att20_acc73.csv,335,guess,0,20,73
1.819807,1.2919133,0.42163184,-0.5849778,0.6033422,7.5640492,1.1220216,pp279_guess_ans0_att20_acc77.csv,279,guess,0,20,77
2.756804,1.4343373,0.62036514,-0.010694169,0.3923161,5.3193254,1.2339271,pp253_guess_ans0_att19_acc64.csv,253,guess,0,19,64
4.8051357,1.4270902,0.7128036,-0.7826106,-0.18535592,7.162858,1.7189789,pp260_control_ans0_att20_acc91.csv,260,control,0,20,91
0.95521903,1.0810766,0.485044,-0.42866206,0.1854757,3.1474051,1.3498343,pp280_control_ans0_att20_acc71.csv,280,control,0,20,71
5.7321362,1.4389668,0.6988805,-0.48652592,-0.36613458,7.796004,1.7625973,pp422_control_ans0_att20_acc91.csv,422,control,0,20,91
1.2291205,1.2640166,0.46724805,-0.22192062,0.5954048,2.2147706,1.3786992,pp340_control_ans0_att20_acc72.csv,340,control,0,20,72
2.3742273,1.3946126,0.5592755,-0.45498046,0.7551095,7.0154448,1.5268943,pp242_control_ans0_att20_acc86.csv,242,control,0,20,86
5.116268,1.3934788,0.631991,-0.6898867,0.646247,7.709136,1.9712878,pp120_control_ans0_att20_acc100.csv,120,control,0,20,100
2.026425,1.4373358,0.62251985,-0.21399955,-0.22778982,7.4825244,1.1163374,pp419_guess_ans0_att20_acc66.csv,419,guess,0,20,66
5.778377,1.4168627,0.5717106,-0.5672744,0.21525371,6.570221,1.7726103,pp303_guess_ans0_att20_acc92.csv,303,guess,0,20,92
0.7684073,1.3477021,0.3717582,-0.18612213,0.017887272,4.4122725,1.0514351,pp140_control_ans0_att19_acc65.csv,140,control,0,19,65
2.4118495,1.380932,0.3659654,-0.4432627,0.8271084,5.9622593,1.5429366,pp144_control_ans0_att20_acc90.csv,144,control,0,20,90
1.1506861,0.8777033,0.501546,-0.4529249,0.542905,3.1952121,1.747298,pp224_control_ans0_att20_acc82.csv,224,control,0,20,82
1.1727695,1.1914735,0.40182394,0.0900476,0.6050948,2.2816644,1.3798491,pp365_guess_ans0_att20_acc62.csv,365,guess,0,20,62
3.6625192,1.3653009,0.48536822,-0.5522474,0.87071574,6.6556654,1.6534234,pp135_guess_ans0_att20_acc92.csv,135,guess,0,20,92
1.3005658,1.2118119,0.5450852,-0.7128923,0.7205806,7.6006436,1.4252464,pp149_guess_ans0_att19_acc92.csv,149,guess,0,19,92
1.4109509,0.9104246,0.4814454,-0.741089,0.75997114,5.5097637,1.190817,pp426_control_ans0_att20_acc85.csv,426,control,0,20,85
0.71199733,0.26228613,0.5409424,-0.30941913,0.22230633,1.8114371,1.8240958,pp443_guess_ans0_att19_acc64.csv,443,guess,0,19,64
0.83357614,1.0027225,0.5595991,-0.21994914,0.28441846,2.6871288,1.4827856,pp218_control_ans0_att18_acc66.csv,218,control,0,18,66
3.3766556,1.4365002,0.77924544,-0.5496121,-0.34064743,7.827693,1.5685172,pp325_guess_ans0_att20_acc75.csv,325,guess,0,20,75
