file,r_alpha_a,r_alpha_t0,r_a_t0,pp,cond,ans,att,acc
pp379_guess_ans0_att19_acc74.csv,-0.7120412143248712,-0.35083355220734186,-0.007645454355131984,379,guess,0,19,74
pp341_guess_ans0_att20_acc69.csv,0.9315778546333796,-0.008500379754103343,-0.25731910955409104,341,guess,0,20,69
pp297_guess_ans0_att19_acc69.csv,-0.5210036330276439,-0.03547289366930865,-0.17802412286426558,297,guess,0,19,69
pp146_control_ans0_att17_acc61.csv,-0.21065631203152077,0.06400626319771249,-0.04961136335112415,146,control,0,17,61
pp408_control_ans0_att19_acc70.csv,-0.6277794302218073,-0.13492323590375557,-0.17005523709146225,408,control,0,19,70
pp236_control_ans0_att20_acc81.csv,-0.181999497403928,-0.1382529068269933,-0.5029638729181739,236,control,0,20,81
pp139_guess_ans0_att20_acc77.csv,0.6828754610575138,-0.1760591570198714,-0.6276319157869212,139,guess,0,20,77
pp311_guess_ans0_att20_acc77.csv,-0.41031250805774644,-0.2055979362427149,-0.4773654794722391,311,guess,0,20,77
pp375_guess_ans0_att20_acc64.csv,0.7427613928630586,-0.2381138736204311,-0.6322135492060941,375,guess,0,20,64
pp441_guess_ans0_att18_acc64.csv,0.803919368617948,-0.3659798913441497,-0.7037045383532762,441,guess,0,18,64
pp355_guess_ans0_att16_acc61.csv,0.8512485026140619,-0.26621444669457145,-0.5804851872267359,355,guess,0,16,61
pp327_guess_ans0_att17_acc63.csv,0.7733563375887791,-0.17709021955369672,-0.5158295609648288,327,guess,0,17,63
pp162_control_ans0_att20_acc81.csv,-0.7784371306855516,-0.23892452050874444,0.08594662170428015,162,control,0,20,81
pp130_control_ans0_att20_acc69.csv,0.11886655012337088,-0.076467989035569,-0.6368909798010401,130,control,0,20,69
pp121_guess_ans0_att20_acc70.csv,-0.43059799737545645,-0.2428005217003425,-0.16676862121063626,121,guess,0,20,70
pp234_control_ans0_att20_acc96.csv,-0.5719264673230545,-0.11157700288236128,-0.4055756587662116,234,control,0,20,96
pp172_control_ans0_att20_acc78.csv,-0.7278532270605113,-0.24191226248992093,-0.0326309584981435,172,control,0,20,78
pp275_guess_ans0_att20_acc86.csv,-0.7229843773524666,0.12235725852086975,-0.5299704788526439,275,guess,0,20,86
pp157_guess_ans0_att14_acc59.csv,-0.03439324331627287,-0.1040230996830749,-0.24125773937115708,157,guess,0,14,59
pp117_guess_ans0_att12_acc52.csv,-0.5223299598385419,-0.3365438440772455,-0.1641067724174949,117,guess,0,12,52
pp334_control_ans0_att20_acc76.csv,-0.6723928528531616,-0.31007476343926765,-0.1498453763600233,334,control,0,20,76
pp377_guess_ans0_att20_acc71.csv,0.67903552210365,-0.11086999023034715,-0.6404485527545194,377,guess,0,20,71
pp352_control_ans0_att20_acc99.csv,-0.17949820043000994,0.022936405020271534,-0.8817547754233878,352,control,0,20,99
pp397_guess_ans0_att20_acc70.csv,0.41650623135253523,-0.47945866983598706,-0.5685445980305974,397,guess,0,20,70
pp155_guess_ans0_att20_acc70.csv,-0.5159061863583303,-0.07167512812598043,-0.27471569089751824,155,guess,0,20,70
pp372_control_ans0_att20_acc88.csv,-0.8609315041227527,-0.23327830112246095,0.1269904810756981,372,control,0,20,88
pp388_control_ans0_att20_acc75.csv,-0.6369059255333211,-0.5129798075768901,0.02230730675338647,388,control,0,20,75
pp306_control_ans0_att20_acc97.csv,-0.41541422957148033,-0.22248775275488528,-0.18497213910316754,306,control,0,20,97
pp447_guess_ans0_att20_acc87.csv,-0.8252895965850223,-0.202015633274776,-0.07803330584177423,447,guess,0,20,87
pp353_guess_ans0_att20_acc75.csv,0.2739882329457836,-0.15552389210466563,-0.7448158549421221,353,guess,0,20,75
pp272_control_ans0_att20_acc91.csv,-0.004389746379954474,0.07237671145124235,-0.18051699767451176,272,control,0,20,91
pp226_control_ans0_att20_acc86.csv,-0.7158615424184558,-0.28882873653696906,0.19565049094121303,226,control,0,20,86
pp244_control_ans0_att18_acc66.csv,0.9071754244588001,-0.1647637024724654,-0.31359170554502097,244,control,0,18,66
pp268_control_ans0_att20_acc83.csv,-0.3283013533230475,-0.23211871256409874,-0.39169712900906023,268,control,0,20,83
pp429_guess_ans0_att20_acc75.csv,0.14318041891829789,-0.17460871568677908,-0.6862412961985656,429,guess,0,20,75
pp285_guess_ans0_att20_acc71.csv,-0.5576012960635947,-0.3806584350735719,-0.151763550944069,285,guess,0,20,71
pp390_control_ans0_att19_acc63.csv,0.9017115071222079,-0.04739175282834002,-0.41486893434257505,390,control,0,19,63
pp318_control_ans0_att20_acc87.csv,-0.4969436961452229,0.04328891134592334,-0.559504570390233,318,control,0,20,87
pp122_control_ans0_att20_acc73.csv,-0.8272029256031693,-0.24938836154436075,0.04768819539477212,122,control,0,20,73
pp431_guess_ans0_att19_acc64.csv,-0.7907169378073924,-0.2676954317833069,0.11041967016751307,431,guess,0,19,64
pp319_guess_ans0_att20_acc62.csv,-0.425179007928854,-0.5295649050350262,-0.10713247679707363,319,guess,0,20,62
pp142_control_ans0_att20_acc67.csv,0.3793129891299623,-0.3275470943927199,-0.662573750727921,142,control,0,20,67
pp231_guess_ans0_att20_acc66.csv,0.8518666960452944,-0.10552558373732585,-0.5026316029965542,231,guess,0,20,66
pp190_control_ans0_att20_acc77.csv,-0.19242819166165165,-0.33687159881203815,-0.46379225776537286,190,control,0,20,77
pp308_control_ans0_att20_acc97.csv,-0.5169793689213377,-0.18055866029197326,-0.13993042583002854,308,control,0,20,97
pp401_guess_ans0_att19_acc64.csv,0.9084777430740201,-0.025193621450084382,-0.27155838558832046,401,guess,0,19,64
pp164_control_ans0_att20_acc66.csv,0.18324607598849862,-0.322141685949172,-0.6572763777633679,164,control,0,20,66
pp217_guess_ans0_att19_acc63.csv,-0.21373870842107243,-0.17309108892474467,-0.33390611979422413,217,guess,0,19,63
pp451_control_ans0_att20_acc68.csv,-0.5113314975796861,-0.3533849294700258,-0.03172409439974899,451,control,0,20,68
pp432_control_ans0_att20_acc70.csv,0.7344326201024228,-0.29919285578176313,-0.6232435315539233,432,control,0,20,70
pp350_control_ans0_att20_acc99.csv,-0.3167502459437242,-0.25921307244965563,-0.2733162233931251,350,control,0,20,99
pp286_control_ans0_att20_acc78.csv,-0.638175133203635,-0.26271542075467863,-0.21063551276931872,286,control,0,20,78
pp284_control_ans0_att19_acc70.csv,-0.7771076582604256,-0.3119211237999247,0.07866458363823675,284,control,0,19,70
pp143_guess_ans0_att19_acc82.csv,-0.5803812614050828,-0.2743941557664983,0.08864795760372915,143,guess,0,19,82
pp370_control_ans0_att20_acc65.csv,-0.5845675556544639,-0.5891521426446928,0.08431892169017671,370,control,0,20,65
pp403_guess_ans0_att20_acc68.csv,0.7591856439135323,-0.15765050792027546,-0.5913266021381391,403,guess,0,20,68
pp192_control_ans0_att20_acc83.csv,-0.7633589568796649,-0.24971777609566045,-0.08856057098620088,192,control,0,20,83
pp281_guess_ans0_att20_acc72.csv,0.6208318078598037,-0.2594614222852488,-0.6019820441040258,281,guess,0,20,72
pp405_guess_ans0_att20_acc79.csv,-0.7799934781412183,-0.20617217728389642,-0.07175245413712471,405,guess,0,20,79
pp195_guess_ans0_att20_acc76.csv,-0.7624074388515505,-0.29211740406347564,-0.05547054239761682,195,guess,0,20,76
pp239_guess_ans0_att20_acc68.csv,0.4496508389989449,0.09781495371213675,-0.643658145445231,239,guess,0,20,68
pp321_guess_ans0_att16_acc61.csv,0.5492964101792828,-0.28042486247931386,-0.4465210968875773,321,guess,0,16,61
pp288_control_ans0_att20_acc79.csv,-0.742389119605043,-0.30340113521428047,-0.05090069098602103,288,control,0,20,79
pp156_control_ans0_att19_acc97.csv,-0.462038075444556,0.05977808056943278,-0.7119964421094223,156,control,0,19,97
pp176_control_ans0_att20_acc70.csv,0.5853408767042275,-0.1552514527963125,-0.6598211381611272,176,control,0,20,70
pp194_control_ans0_att20_acc88.csv,-0.855119975916102,-0.2723877416452724,0.15899143982799374,194,control,0,20,88
pp290_control_ans0_att16_acc59.csv,-0.7032717713900468,0.014936294788606436,-0.22061704784867484,290,control,0,16,59
pp257_guess_ans0_att18_acc56.csv,0.927607171674879,-0.25465243309758895,-0.41421186988309777,257,guess,0,18,56
pp197_guess_ans0_att20_acc74.csv,-0.49616605806360614,-0.503573759004563,-0.11565333236347891,197,guess,0,20,74
pp170_control_ans0_att14_acc55.csv,0.39676683631324344,-0.556810144271406,-0.6968573949275564,170,control,0,14,55
pp233_guess_ans0_att19_acc93.csv,-0.708579110315696,-0.1762755474642857,-0.034521079855527055,233,guess,0,19,93
pp273_guess_ans0_att20_acc82.csv,-0.1286227706536464,0.08948054866823908,-0.6995865633754744,273,guess,0,20,82
pp131_guess_ans0_att18_acc65.csv,0.7264034327998113,-0.17778873430806735,-0.6462016492868211,131,guess,0,18,65
pp294_control_ans0_att20_acc65.csv,0.713577911101926,-0.17405518199755887,-0.5134002157820131,294,control,0,20,65
pp227_guess_ans0_att20_acc70.csv,0.8410370619857956,-0.16403463770930193,-0.41138907030360644,227,guess,0,20,70
pp427_guess_ans0_att18_acc55.csv,-0.03974732244071783,-0.6153867724820091,-0.3800171829505668,427,guess,0,18,55
