file,r_alpha_a,r_alpha_t0,r_a_t0,pp,cond,ans,att,acc
pp109_control_ans0_att20_acc100.csv,-0.006070122201267507,0.017923900335624767,-0.6110429215778321,109,control,0,20,100
pp560_guess_ans0_att18_acc62.csv,-0.0019116339263416915,0.0002512079596898685,-0.8747759766058429,560,guess,0,18,62
pp38_guess_ans0_att13_acc51.csv,-0.011989047255652226,0.008612357274822756,-0.5052325735808926,38,guess,0,13,51
pp355_control_ans0_att19_acc74.csv,-0.015081281435756549,0.015676809599750704,-0.4091157643069317,355,control,0,19,74
pp218_guess_ans0_att17_acc52.csv,-0.0004495053879775227,-0.0013541592400443195,-0.8235338613655184,218,guess,0,17,52
pp375_control_ans0_att19_acc66.csv,-0.01207572881023508,0.001398735384625545,-0.48493851783010306,375,control,0,19,66
pp74_guess_ans0_att20_acc76.csv,-0.007775908858221559,-0.0002366583806527396,-0.47168719520761,74,guess,0,20,76
pp500_guess_ans0_att20_acc67.csv,-0.0071163789725152,-0.012698561155115423,-0.6952541808191829,500,guess,0,20,67
pp168_guess_ans0_att20_acc79.csv,-0.00265248480777056,0.003678968642969435,-0.5421342177026228,168,guess,0,20,79
pp420_guess_ans0_att20_acc69.csv,-0.0073699340240836395,0.006543216658228551,-0.3471140177659827,420,guess,0,20,69
pp19_control_ans0_att12_acc52.csv,-0.00787219514344807,-0.0019530329042486024,-0.8879883638767095,19,control,0,12,52
pp317_control_ans0_att20_acc73.csv,-0.0030342506634037153,0.004998183966256017,-0.5359280583845455,317,control,0,20,73
pp131_control_ans0_att18_acc61.csv,-0.002579078637257912,0.0033426742369064393,-0.8919702468840317,131,control,0,18,61
pp509_control_ans0_att20_acc96.csv,-0.002337934774398455,-0.0014425939981718853,-0.5727269116894659,509,control,0,20,96
pp372_guess_ans0_att19_acc89.csv,-0.018787053175579875,0.0261538037303823,-0.5801602279763309,372,guess,0,19,89
pp382_guess_ans0_att19_acc60.csv,-0.0018900911719429122,0.004516156125851088,-0.44845068598355464,382,guess,0,19,60
pp179_control_ans0_att20_acc68.csv,0.007886668522426976,0.002385871553224768,-0.6984985264752749,179,control,0,20,68
pp234_guess_ans0_att19_acc72.csv,-0.01031853356101791,-0.004439884707507747,-0.3905638235858017,234,guess,0,19,72
pp272_guess_ans0_att19_acc56.csv,0.03057024529292019,-0.010235467499500205,-0.655561798049218,272,guess,0,19,56
pp534_guess_ans0_att18_acc57.csv,0.029685010692851226,-0.02780188666885858,-0.906185273787615,534,guess,0,18,57
pp78_guess_ans0_att20_acc69.csv,-0.005995152596873731,0.01424073297656459,-0.73639034148237,78,guess,0,20,69
pp283_control_ans0_att20_acc78.csv,0.005518840797137314,-0.014953784402407555,-0.5824827025506346,283,control,0,20,78
pp162_guess_ans0_att15_acc60.csv,0.006516966906076129,0.00468829280308916,-0.4869745705375152,162,guess,0,15,60
pp402_guess_ans0_att18_acc65.csv,0.0019640883329537246,-0.006852247652517729,-0.635243861390366,402,guess,0,18,65
pp167_control_ans0_att20_acc96.csv,0.016277718364713242,0.004085228595854174,-0.7660194652584176,167,control,0,20,96
pp387_control_ans0_att20_acc62.csv,-0.02713289437472719,0.018592116713919547,-0.6332788182045433,387,control,0,20,62
pp66_guess_ans0_att20_acc75.csv,0.015043613758960623,-0.001963070215210405,-0.4498679378001123,66,guess,0,20,75
pp556_guess_ans0_att20_acc81.csv,0.012199303993693447,-0.009818752941415525,-0.9031765707958253,556,guess,0,20,81
pp582_guess_ans0_att20_acc64.csv,-0.004405476894776738,0.005604460940498014,-0.9470435855805921,582,guess,0,20,64
pp53_control_ans0_att19_acc68.csv,0.002284089033263916,0.031169742348417042,-0.573485972077683,53,control,0,19,68
pp570_guess_ans0_att17_acc67.csv,-0.030569223571696533,0.03913641746562545,-0.5072963927887806,570,guess,0,17,67
pp169_control_ans0_att17_acc55.csv,-0.030778274988361946,0.01990492552606792,-0.8185066848007191,169,control,0,17,55
pp125_control_ans0_att17_acc66.csv,0.001623197313820695,0.006780797931643301,-0.6704723402616949,125,control,0,17,66
pp83_control_ans0_att20_acc75.csv,0.019242525092308976,0.015456770853791156,-0.6631586396205341,83,control,0,20,75
pp384_guess_ans0_att19_acc67.csv,0.0007899718849018063,-0.0051942787888986,-0.7754850641999054,384,guess,0,19,67
pp112_guess_ans0_att19_acc64.csv,0.00025635343956298634,0.01061386727539808,-0.47765226390385923,112,guess,0,19,64
pp373_control_ans0_att20_acc85.csv,-0.005056106484559228,-0.0011222413751618826,-0.5450312247456254,373,control,0,20,85
pp311_control_ans0_att20_acc65.csv,0.004694925208479594,0.008575244544101506,-0.7362582271861705,311,control,0,20,65
pp398_guess_ans0_att20_acc83.csv,-0.004804699867149623,0.014461562107736203,-0.6098343418656116,398,guess,0,20,83
pp333_control_ans0_att18_acc69.csv,0.0021109391953727887,-0.008022715772710418,-0.5329714360873734,333,control,0,18,69
