pp,group,block,trial_type,mean,response_action,correct,rt,att_correct,fast_outliers_crit_fix,slow_outliers_crit_fix,rt_ms,rt_log,fast_outliers_tukey,slow_outliers_tukey,n_trials_pre,n_trials_post
101,control,1,test,450,a,1,2.9882,20,0.0,0.0,2988.2,3.4754096614129684,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.3474,20,0.0,0.0,2347.4,3.3705871002466763,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,1.5606,20,0.0,0.0,1560.6,3.1932916025795164,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,3.3758,20,0.0,0.0,3375.7999999999997,3.5283767088454074,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.4588,20,0.0,0.0,2458.8,3.39072320444882,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,3.3015,20,0.0,0.0,3301.5,3.518711301609029,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.5312,20,0.0,0.0,2531.2000000000003,3.4033264618175827,0.0,2.0,352.0,350.0
101,control,2,test,450,a,1,2.3448,20,0.0,0.0,2344.8,3.370105805430379,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,1.6295,20,0.0,0.0,1629.5,3.212054364801163,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,4.0125,20,0.0,0.0,4012.5,3.6034150454129286,0.0,2.0,352.0,350.0
101,control,1,test,550,l,1,4.8155,20,0.0,0.0,4815.5,3.6826413871962154,0.0,2.0,352.0,350.0
101,control,1,test,450,a,1,3.3199,20,0.0,0.0,3319.9,3.5211250023479335,0.0,2.0,352.0,350.0
101,control,2,test,450,l,0,3.765,20,0.0,0.0,3765.0,3.5757649805367193,0.0,2.0,352.0,350.0
101,control,2,test,450,l,0,2.3073,20,0.0,0.0,2307.3,3.3631040660746354,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,3.4988,20,0.0,0.0,3498.8,3.543919117853336,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,3.7015,20,0.0,0.0,3701.5,3.5683777537182206,0.0,2.0,352.0,350.0
101,control,2,test,550,l,1,3.1219,20,0.0,0.0,3121.9,3.4944189877258403,0.0,2.0,352.0,350.0
101,control,2,test,550,a,0,1.6581,20,0.0,0.0,1658.1,3.2196107193014374,0.0,2.0,352.0,350.0
