RT,mean,half
6.9423,0,1
-1.2176,0,1
5.2564,1,1
2.4286,1,1
6.0821,1,1
3.1947,1,1
4.8179,0,1
9.8964,1,1
-7.2461,0,1
-7.5064,0,1
6.6417,1,1
4.4107,1,1
-2.4438,0,1
4.8402,1,1
-5.8857,0,1
4.4461,1,1
-9.2605,1,1
0.8076,0,1
1.224,1,1
-5.5064,0,1
3.2552,1,1
3.6775,1,1
3.8078,1,1
1.5263,1,1
-14.6407,0,1
2.3769,1,1
-4.5112,0,1
-5.6204,0,1
-1.8438,0,1
-1.6273,0,1
2.1662,1,1
-1.0703,0,1
1.4995,0,1
-1.653,0,1
3.0715,1,1
2.4256,0,1
11.8659,1,1
10.2266,1,1
2.6677,0,1
4.4607,1,1
4.3441,1,1
1.5614,1,1
1.7782,0,1
3.7878,1,1
-1.1217,1,1
10.6935,0,1
3.9703,0,2
2.4451,0,2
7.0787,1,1
10.1014,0,1
6.9748,1,1
8.2082,1,1
1.4714,1,1
-9.6558,0,1
-4.2201,0,1
5.0406,0,1
-1.7199,0,1
3.7261,0,1
6.2754,0,1
1.2937,0,1
1.0125,0,1
2.2059,1,1
-6.6747,0,1
-3.7317,0,1
2.6268,1,1
-2.0502,0,1
1.8567,0,2
2.7744,1,2
2.1264,1,2
1.9088,1,2
-5.1846,0,2
2.4365,1,2
3.1955,1,2
1.552,1,1
8.473,1,2
3.2736,1,2
2.3233,1,2
4.1484,0,2
2.3075,1,2
-1.4788,0,2
1.1512,0,2
1.5137,1,2
2.7286,1,2
2.3937,0,2
1.158,0,2
2.2552,1,2
-3.6111,0,1
-7.3533,0,1
2.4744,1,1
1.5704,1,1
-4.9192,0,2
0.5128,0,2
-2.3518,1,2
0.7104,1,2
1.8292,1,2
1.4869,0,2
1.2777,0,2
2.3284,0,2
2.8232,0,2
-2.6423,0,2
-3.5765,0,2
14.3893,0,2
4.7107,1,2
1.6895,0,2
2.4504,1,2
3.5281,1,2
-2.3063,0,1
2.9527,1,1
2.6757,1,1
1.4592,1,1
3.9152,1,1
1.8855,1,1
2.3121,0,2
2.4811,1,2
2.9513,1,2
2.454,0,2
3.0708,0,2
-1.9307,0,2
1.7608,0,2
1.3769,1,2
-1.6062,1,2
-3.691,0,2
3.059,1,2
3.7175,1,2
-3.3824,0,2
0.7248,0,2
1.5836,1,2
1.3215,0,2
-1.0523,1,2
1.4588,0,2
-0.668,1,2
0.6418,1,2
1.4294,1,2
-2.5062,0,2
2.0736,1,2
2.9263,1,2
2.7647,0,2
5.316,0,2
-2.8572,0,2
-0.8088,0,2
0.8507,0,2
1.2264,0,2
1.4421,1,2
2.3284,0,2
2.3133,1,2
-4.49,0,2
-1.825,0,2
2.8324,1,2
2.3597,1,2
1.7789,1,2
-1.763,0,2
1.7109,1,2
2.5608,0,2
2.8125,1,2
4.7905,1,2
3.1232,1,2
1.3072,1,2
2.9293,1,2
1.2868,0,2
1.3614,1,2
2.3326,0,2
1.6546,1,2
3.0195,1,2
1.366,1,2
-1.5216,0,2
1.8119,0,2
1.4386,0,2
6.9213,1,2
1.8287,1,2
7.3048,1,2
-1.9991,1,2
-2.2233,0,2
-1.877,0,2
-2.9118,0,2
1.6557,0,2
2.6154,0,2
2.8088,0,2
0.9949,1,2
1.6472,1,2
2.7783,0,2
1.1559,0,2
0.6548,1,2
2.8206,1,2
5.2385,1,2
-4.2862,0,1
1.8234,0,1
1.7427,1,1
2.812,1,1
1.5809,1,1
1.3028,0,1
0.9141,0,1
2.5843,0,1
2.1321,0,1
1.9115,1,1
1.3355,0,2
1.2412,1,2
1.9536,0,2
-5.5476,0,1
-4.1736,0,1
3.2027,0,1
1.1632,1,1
-1.6573,0,1
1.5931,0,1
0.9255,0,1
-2.5759,1,1
1.9957,1,1
6.996,1,1
3.4582,1,1
4.3951,1,1
-7.2939,0,1
1.8913,1,1
-4.104,0,1
3.0549,1,1
-7.6723,1,1
3.1385,1,1
-6.5826,0,1
-4.173,0,1
-4.6039,0,1
-1.9085,0,1
5.9442,1,1
1.0977,0,1
1.3912,0,1
-2.2948,0,1
-1.9861,0,1
3.8596,1,1
3.0777,0,1
2.5607,1,1
1.4814,1,1
12.9863,0,1
7.7181,0,1
-2.508,0,1
3.3137,0,1
3.3171,0,1
6.136,1,1
1.3101,1,1
1.7229,1,1
1.2975,1,1
-0.895,1,1
0.5214,1,1
1.8668,1,1
1.0126,0,1
1.5781,0,1
2.6665,1,1
-4.3981,0,1
3.0557,1,2
1.5097,1,2
4.4538,0,2
1.7892,0,2
7.4087,1,2
-1.9498,1,2
1.5588,0,2
-2.9595,0,1
1.4381,1,1
1.0809,0,1
0.7486,1,1
3.9182,0,1
2.5965,1,1
3.5399,1,1
-4.8016,0,1
3.4153,1,2
2.5751,0,2
1.4762,1,2
-3.2336,0,2
-2.8433,0,2
5.6163,0,2
6.5271,1,2
9.6863,0,2
1.6175,1,2
16.9576,0,2
2.2707,1,2
3.9315,1,2
1.4018,0,2
1.9763,0,2
15.2623,0,2
2.0941,1,2
-1.8728,0,2
8.9019,0,2
8.1352,1,2
3.1235,1,2
2.294,1,2
1.5025,1,1
2.6673,0,1
1.2094,0,1
-0.923,1,1
0.5957,0,1
-0.5913,1,1
1.0133,0,1
2.9279,1,1
1.8926,0,1
3.6919,1,1
1.2881,0,1
1.2589,1,1
1.5731,0,1
-1.6073,1,1
-10.9608,0,2
1.9025,1,2
-1.2685,1,2
10.5267,1,2
0.8363,0,2
1.1937,1,2
-1.7532,0,2
10.4848,1,2
1.6754,1,2
1.5939,0,2
-4.2414,0,2
1.3737,0,2
1.8272,1,2
1.5105,1,2
2.2588,1,2
1.1485,1,2
1.9037,1,2
-1.7903,0,2
0.6919,1,2
-4.8551,0,1
4.5832,1,2
4.8483,1,2
-1.8621,0,2
2.6768,0,2
4.3662,0,2
1.446,1,2
-8.2256,0,1
7.294,1,1
1.0581,1,1
3.5511,1,1
-1.5118,0,1
-5.5232,0,1
9.4074,0,1
0.8993,1,1
-4.1003,1,1
3.0996,1,2
3.4913,0,2
3.489,1,2
5.4282,1,1
6.7175,1,1
4.0688,1,1
-1.7942,0,1
5.1283,1,1
-3.8767,0,1
-6.8939,0,1
-5.313,0,1
-4.3863,1,1
6.3835,1,1
1.5585,0,2
3.8726,0,2
