DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition,ans,att,acc
0.0026022037,0.0015777503,0.9601751,0.035645045,pp109_control_ans0_att20_acc100.csv,109,control,0,20,100
0.3424798,0.12271698,0.3799005,0.15490267,pp560_guess_ans0_att18_acc62.csv,560,guess,0,18,62
0.0017401165,0.891079,0.0023446677,0.104836226,pp38_guess_ans0_att13_acc51.csv,38,guess,0,13,51
0.0015570569,0.9351542,0.002638589,0.060650192,pp355_control_ans0_att19_acc74.csv,355,control,0,19,74
0.36902222,0.09560047,0.41093534,0.12444199,pp218_guess_ans0_att17_acc52.csv,218,guess,0,17,52
0.0013031546,0.84943587,0.0023466113,0.14691442,pp375_control_ans0_att19_acc66.csv,375,control,0,19,66
0.001740406,0.6926869,0.0024598865,0.30311275,pp74_guess_ans0_att20_acc76.csv,74,guess,0,20,76
0.4536365,0.17997123,0.24474566,0.12164668,pp500_guess_ans0_att20_acc67.csv,500,guess,0,20,67
0.0049073137,0.034577932,0.0070027215,0.953512,pp168_guess_ans0_att20_acc79.csv,168,guess,0,20,79
0.15904035,0.21617562,0.20276068,0.4220234,pp401_control_ans0_att18_acc61.csv,401,control,0,18,61
0.007882882,0.0031783408,0.9117792,0.07715947,pp19_control_ans0_att12_acc52.csv,19,control,0,12,52
0.0020060886,0.06857451,0.0015814331,0.92783797,pp317_control_ans0_att20_acc73.csv,317,control,0,20,73
0.005958717,0.8986333,0.0053180936,0.09008988,pp509_control_ans0_att20_acc96.csv,509,control,0,20,96
0.0014054542,0.16755933,0.002002949,0.8290323,pp372_guess_ans0_att19_acc89.csv,372,guess,0,19,89
0.0017025715,0.90867835,0.0026348452,0.08698413,pp382_guess_ans0_att19_acc60.csv,382,guess,0,19,60
0.014868464,0.005624405,0.6541134,0.3253938,pp179_control_ans0_att20_acc68.csv,179,control,0,20,68
0.1640514,0.3071848,0.20804703,0.3207168,pp234_guess_ans0_att19_acc72.csv,234,guess,0,19,72
0.42616612,0.31305036,0.15767893,0.103104636,pp272_guess_ans0_att19_acc56.csv,272,guess,0,19,56
0.17955776,0.016575966,0.7313749,0.07249131,pp534_guess_ans0_att18_acc57.csv,534,guess,0,18,57
0.29491967,0.2243722,0.22708213,0.25362593,pp78_guess_ans0_att20_acc69.csv,78,guess,0,20,69
0.002442297,0.0022060694,0.07557937,0.91977227,pp283_control_ans0_att20_acc78.csv,283,control,0,20,78
0.001673675,0.8583996,0.0024785623,0.1374482,pp162_guess_ans0_att15_acc60.csv,162,guess,0,15,60
0.0060278205,0.79247814,0.003971139,0.19752283,pp167_control_ans0_att20_acc96.csv,167,control,0,20,96
